lead_id,client_id,company_name_raw,industry_vertical,city_id,requested_geography,anchor_screen_id,lead_source,lead_date,sales_stage_reached,lost_date,requested_start_date,requested_duration_days,requested_num_screens,indicated_budget,quoted_price_per_slot_per_day,client_target_price_per_slot_per_day,price_gap_pct,negotiation_rounds,competitor_mentioned,loss_reason,loss_reason_detail,campaign_objective,ad_type
LEAD-000022,,Connect Telecom,telecom,ACS,ACS:Pine Hatch,ACS-SCR-001351,inbound_call,2025-10-17,contract_sent,2025-12-06,2026-01-25,74,1,4288.96,49.69,,,4,False,creative_not_ready,Client creative assets were not finalized in time,reach,5G Network Launch (Reach)
LEAD-000023,,Prime Mart,retail,LH,LH:Financial Row,LH-SCR-003233,website_form,2025-09-14,negotiating,2025-10-03,2025-11-15,28,4,56416.32,187.75,130.03,0.4439,2,False,price_too_high,Rate card premium on hub screens broke the budget,frequency,Seasonal Sale Promotion (Frequency)
LEAD-000024,,Regency Inn & Suites,hospitality,LH,LH:North Terminus,LH-SCR-003468,cold_outreach,2025-08-31,negotiating,2025-09-29,2025-11-14,26,18,11685.36,71.18,68.92,0.0328,1,False,contract_terms_disagreement,Disagreement over cancellation/make-good terms,awareness,Seasonal Package Deal (Awareness)
LEAD-000025,CLI-00391,,auto,DAT,DAT:Ashford Row,DAT-SCR-001550,inbound_call,2026-01-15,negotiating,2026-02-10,2026-03-17,25,5,13371.28,100.55,75.91,0.3246,3,False,price_too_high,Quoted rate exceeded client ceiling,reach,EV Awareness Campaign (Reach)
LEAD-000026,,Meridian Credit Union,finance,DAT,DAT:Milltown,DAT-SCR-000468,website_form,2026-07-06,negotiating,2026-07-31,2026-08-30,31,13,18584.96,32.86,32.33,0.0164,3,True,went_with_competitor,Competitor offered a bundled multi-city rate,awareness,Digital Banking Launch (Awareness)
LEAD-000027,,Summit Dealerships,auto,ACS,ACS:Greenhollow,ACS-SCR-000009,trade_show,2026-06-03,contract_sent,2026-07-22,2026-09-06,34,14,72643.3,26.29,25.21,0.0428,3,False,contract_terms_disagreement,Legal review flagged liability clauses,frequency,Year-End Clearance Event (Frequency)
LEAD-000028,,Summit Dealerships,auto,DAT,DAT:Union Flats,DAT-SCR-000593,cold_outreach,2025-11-25,quote_sent,2025-12-04,2026-01-19,8,1,14646.34,37.43,36.76,0.0182,0,True,went_with_competitor,Competitor offered a bundled multi-city rate,conversion,New Model Launch (Conversion)
LEAD-000029,CLI-00095,,telecom,ACS,ACS:Maple Grove,ACS-SCR-001314,repeat_client_inquiry,2026-02-02,quote_sent,2026-02-06,2026-03-09,28,11,33614.42,122.56,89.09,0.3757,0,False,price_too_high,Quoted rate exceeded client ceiling,reach,Device Trade-in Campaign (Reach)
LEAD-000030,,Link Networks,telecom,ACS,ACS:Sunridge Acres,ACS-SCR-001708,trade_show,2025-10-24,initial_inquiry,2025-10-31,2025-11-22,17,1,40123.15,,,,0,False,no_response_ghosted,Follow-up emails went unanswered,frequency,Device Trade-in Campaign (Frequency)
LEAD-000031,CLI-00114,,hospitality,ACS,ACS:Fallowfield,ACS-SCR-000033,cold_outreach,2025-12-21,negotiating,2026-01-19,2026-02-19,34,25,326787.54,24.81,20.36,0.2186,2,False,price_too_high,Rate card premium on hub screens broke the budget,frequency,New Property Launch (Frequency)
LEAD-000032,CLI-00507,,education,DAT,DAT:Milltown,DAT-SCR-000655,repeat_client_inquiry,2026-06-22,initial_inquiry,2026-06-25,2026-08-24,28,1,40734.18,,,,0,True,no_response_ghosted,Inquiry appears to have been exploratory only,reach,Enrollment Drive (Reach)
LEAD-000033,CLI-00472,,finance,ACS,ACS:Windmere Park,ACS-SCR-001442,repeat_client_inquiry,2026-02-27,initial_inquiry,2026-03-03,2026-04-21,72,12,524357.13,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,reach,Credit Card Acquisition (Reach)
LEAD-000034,CLI-00200,,government,ACS,ACS:Old Orchard,ACS-SCR-000493,repeat_client_inquiry,2026-05-18,quote_sent,2026-05-22,2026-06-23,93,1,32136.19,39.43,30.99,0.2723,0,False,budget_mismatch,Approved budget came in lower than initial ask,frequency,Civic Engagement Campaign (Frequency)
LEAD-000035,,Ledger Credit Union,finance,ACS,ACS:Maple Grove,ACS-SCR-001245,website_form,2026-05-23,contract_sent,2026-07-05,2026-08-16,49,27,81152.35,89.87,81.48,0.103,5,False,contract_terms_disagreement,Disagreement over cancellation/make-good terms,awareness,Wealth Management Campaign (Awareness)
LEAD-000036,CLI-00095,,telecom,DAT,DAT:Union Flats,DAT-SCR-002304,referral,2025-12-27,initial_inquiry,2025-12-30,2026-01-31,44,8,46819.03,,,,0,False,targeting_mismatch,Requested geography did not match available inventory,conversion,Bundle Offer Awareness (Conversion)
LEAD-000037,,City of Bureau,government,LH,LH:Cathedral Heights,LH-SCR-005635,referral,2025-09-12,quote_sent,2025-09-16,2025-11-11,57,5,77328.64,168.57,154.27,0.0927,0,True,went_with_competitor,Competitor offered a bundled multi-city rate,awareness,Public Safety Awareness (Awareness)
LEAD-000038,CLI-00223,,finance,ACS,ACS:Maple Grove,ACS-SCR-001251,repeat_client_inquiry,2026-05-09,initial_inquiry,2026-05-15,2026-06-18,11,10,23467.31,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,frequency,Wealth Management Campaign (Frequency)
LEAD-000039,CLI-00231,,education,LH,LH:Harborfront,LH-SCR-003028,repeat_client_inquiry,2025-12-25,negotiating,2026-01-02,2026-02-07,41,13,32766.67,142.97,146.94,-0.027,2,False,contract_terms_disagreement,Payment terms could not be aligned,conversion,Scholarship Awareness (Conversion)
LEAD-000040,CLI-00298,,entertainment,DAT,DAT:Founders Square,DAT-SCR-002367,cold_outreach,2025-08-19,negotiating,2025-09-04,2025-10-11,25,10,31588.27,30.46,28.5,0.0688,3,True,went_with_competitor,Competitor offered a bundled multi-city rate,awareness,Concert Tour Announcement (Awareness)
LEAD-000041,,Highstreet Mart,retail,LH,LH:Old Mill District,LH-SCR-005894,referral,2026-06-30,initial_inquiry,2026-07-03,2026-07-22,21,12,58744.49,,,,0,False,no_response_ghosted,Client stopped responding after initial call,frequency,Seasonal Sale Promotion (Frequency)
LEAD-000042,CLI-00499,,retail,LH,LH:Old Mill District,LH-SCR-004986,repeat_client_inquiry,2025-12-20,quote_sent,2026-01-03,2026-01-17,63,9,27558.24,136.28,117.23,0.1625,0,False,price_too_high,Client benchmarked against a cheaper media mix,conversion,Seasonal Sale Promotion (Conversion)
LEAD-000043,,Prime Retail Co,retail,DAT,DAT:Union Flats,DAT-SCR-000583,website_form,2026-02-04,negotiating,2026-02-23,2026-04-06,23,1,28640.9,67.54,70.16,-0.0373,1,True,went_with_competitor,Client signed with a rival OOH network,conversion,Loyalty Program Push (Conversion)
LEAD-000044,,Urban Outfitters,retail,ACS,ACS:Greenhollow,ACS-SCR-001338,inbound_call,2026-07-20,initial_inquiry,2026-07-24,2026-08-30,13,3,31406.22,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,awareness,New Store Opening (Awareness)
LEAD-000045,CLI-00057,,auto,DAT,DAT:Harrow Point,DAT-SCR-002522,inbound_call,2025-12-19,initial_inquiry,2025-12-23,2026-01-28,25,1,214850.35,,,,0,False,timing_conflict,Client campaign timeline shifted and no longer aligned,frequency,Year-End Clearance Event (Frequency)
LEAD-000046,CLI-00435,,education,DAT,DAT:Founders Square,DAT-SCR-000113,repeat_client_inquiry,2026-06-12,initial_inquiry,2026-06-14,2026-06-26,36,14,215172.89,,,,0,False,no_response_ghosted,Client stopped responding after initial call,reach,Program Launch Campaign (Reach)
LEAD-000047,CLI-00102,,technology,DAT,DAT:Milltown,DAT-SCR-000068,website_form,2026-07-26,verbal_agreement,2026-08-19,2026-08-29,24,1,54001.38,32.56,33.7,-0.0338,4,False,campaign_cancelled_internally,Budget was pulled before signing,awareness,App Download Drive (Awareness)
LEAD-000048,,Highstreet Boutique,retail,DAT,DAT:Founders Square,DAT-SCR-001945,referral,2026-02-02,quote_sent,2026-02-12,2026-03-02,21,1,67894.1,62.64,57.74,0.0849,0,True,went_with_competitor,Competitor offered a bundled multi-city rate,reach,Loyalty Program Push (Reach)
LEAD-000049,,Core Technologies,technology,DAT,DAT:Northbank,DAT-SCR-002767,trade_show,2025-11-09,quote_sent,2025-11-13,2025-12-09,14,6,134739.87,83.6,68.12,0.2272,0,False,price_too_high,Rate card premium on hub screens broke the budget,awareness,Product Launch Campaign (Awareness)
LEAD-000050,CLI-00089,,telecom,DAT,DAT:Kestrel Heights,DAT-SCR-001462,cold_outreach,2026-03-25,negotiating,2026-04-15,2026-06-04,52,4,167913.54,135.49,97.43,0.3906,2,False,price_too_high,Quoted rate exceeded client ceiling,awareness,5G Network Launch (Awareness)
LEAD-000051,CLI-00068,,real_estate,LH,LH:Harborfront,LH-SCR-003584,trade_show,2026-02-06,negotiating,2026-03-08,2026-04-27,52,1,93687.89,91.86,83.69,0.0976,2,False,campaign_cancelled_internally,Client paused all marketing spend that quarter,awareness,Home Buying Fair Promo (Awareness)
LEAD-000052,CLI-00137,,healthcare,LH,LH:Old Mill District,LH-SCR-005173,repeat_client_inquiry,2025-10-08,initial_inquiry,2025-10-14,2025-11-01,18,9,31651.63,,,,0,False,budget_mismatch,Approved budget came in lower than initial ask,frequency,Open Enrollment Campaign (Frequency)
LEAD-000053,CLI-00078,,entertainment,LH,LH:Riverside Junction,LH-SCR-004723,repeat_client_inquiry,2026-07-18,quote_sent,2026-07-22,2026-08-28,110,7,321910.36,40.28,,,0,True,inventory_unavailable,Corridor exclusivity request could not be honored,awareness,Streaming Series Launch (Awareness)
LEAD-000054,,Community Alliance,nonprofit,ACS,ACS:Pine Hatch,ACS-SCR-000375,referral,2026-04-15,quote_sent,2026-04-27,2026-06-21,67,1,22389.42,36.38,26.11,0.3933,0,False,price_too_high,Client benchmarked against a cheaper media mix,conversion,Community Support Campaign (Conversion)
LEAD-000055,,Daily Snacks,cpg,ACS,ACS:Greenhollow,ACS-SCR-000408,trade_show,2026-02-08,negotiating,2026-02-23,2026-03-29,45,2,63173.44,30.87,29.04,0.063,1,False,contract_terms_disagreement,Payment terms could not be aligned,conversion,New Product Launch (Conversion)
LEAD-000056,,Connect Networks,telecom,ACS,ACS:Old Orchard,ACS-SCR-000030,cold_outreach,2026-04-06,negotiating,2026-04-17,2026-06-13,33,1,39058.73,39.27,33.97,0.156,1,False,price_too_high,Rate card premium on hub screens broke the budget,reach,5G Network Launch (Reach)
LEAD-000057,CLI-00198,,real_estate,ACS,ACS:Southgate Commons,ACS-SCR-000267,repeat_client_inquiry,2026-08-15,initial_inquiry,2026-08-19,2026-09-01,41,16,26912.82,,,,0,False,no_response_ghosted,Client stopped responding after initial call,frequency,Neighborhood Awareness (Frequency)
LEAD-000058,,Trust Bank,finance,DAT,DAT:Harrow Point,DAT-SCR-002251,website_form,2026-04-08,initial_inquiry,2026-04-11,2026-05-05,49,1,79224.26,,,,0,False,budget_mismatch,Indicated budget could not cover requested screen count,frequency,Retirement Planning Awareness (Frequency)
LEAD-000059,CLI-00415,,entertainment,ACS,ACS:Pine Hatch,ACS-SCR-001349,website_form,2026-06-15,initial_inquiry,2026-06-22,2026-08-06,25,16,55393.3,,,,0,False,targeting_mismatch,Audience profile was not a fit for offered screens,conversion,Ticket Sale Push (Conversion)
LEAD-000060,CLI-00213,,education,DAT,DAT:Northbank,DAT-SCR-000626,referral,2025-12-15,verbal_agreement,2026-01-07,2026-01-17,55,1,47241.9,33.1,24.29,0.3627,2,False,price_too_high,Rate card premium on hub screens broke the budget,awareness,Program Launch Campaign (Awareness)
LEAD-000061,CLI-00466,,auto,DAT,DAT:Central Yard,DAT-SCR-000700,repeat_client_inquiry,2025-12-12,quote_sent,2025-12-21,2026-01-16,8,2,14913.68,115.83,78.89,0.4682,0,False,price_too_high,Rate card premium on hub screens broke the budget,awareness,Test Drive Promotion (Awareness)
LEAD-000062,,Cinema Studios,entertainment,LH,LH:Old Mill District,LH-SCR-005908,website_form,2026-07-31,quote_sent,2026-08-10,2026-09-15,15,7,27474.95,48.57,,,0,False,timing_conflict,Client campaign timeline shifted and no longer aligned,frequency,Movie Release Teaser (Frequency)
LEAD-000063,CLI-00118,,nonprofit,LH,LH:Riverside Junction,LH-SCR-005933,repeat_client_inquiry,2025-12-04,negotiating,2025-12-27,2026-02-04,8,1,7884.59,87.99,81.1,0.085,1,True,went_with_competitor,Client signed with a rival OOH network,awareness,Awareness Month Push (Awareness)
LEAD-000064,CLI-00516,,telecom,ACS,ACS:Sunridge Acres,ACS-SCR-001721,inbound_call,2026-01-30,verbal_agreement,2026-02-13,2026-03-30,24,11,156612.98,53.77,,,3,True,inventory_unavailable,Preferred time-block was sold out,reach,Device Trade-in Campaign (Reach)
LEAD-000065,CLI-00165,,technology,ACS,ACS:Sunridge Acres,ACS-SCR-000600,cold_outreach,2025-11-04,negotiating,2025-11-11,2025-12-29,29,1,82982.72,41.11,41.9,-0.0189,2,True,went_with_competitor,Competitor offered a bundled multi-city rate,awareness,Enterprise Awareness Push (Awareness)
LEAD-000066,CLI-00124,,retail,ACS,ACS:Pine Hatch,ACS-SCR-000156,referral,2025-12-11,quote_sent,2025-12-24,2026-01-07,14,14,43641.48,31.43,23.94,0.3129,0,False,budget_mismatch,Client budget was reallocated mid-quarter,awareness,Weekend Flash Sale (Awareness)
LEAD-000067,,United Foundation,nonprofit,DAT,DAT:Central Yard,DAT-SCR-002170,website_form,2026-01-01,initial_inquiry,2026-01-03,2026-01-24,44,12,127489.01,,,,0,True,targeting_mismatch,Requested geography did not match available inventory,awareness,Community Support Campaign (Awareness)
LEAD-000068,,Achieve Institute,education,LH,LH:North Terminus,LH-SCR-004258,trade_show,2026-08-12,initial_inquiry,2026-08-15,2026-08-29,44,1,14467.94,,,,0,False,timing_conflict,Creative was not ready in time for requested start,awareness,Scholarship Awareness (Awareness)
LEAD-000069,CLI-00430,,healthcare,ACS,ACS:Greenhollow,ACS-SCR-001679,repeat_client_inquiry,2026-05-12,quote_sent,2026-05-25,2026-06-18,47,7,39010.39,78.96,59.04,0.3374,0,False,budget_mismatch,Approved budget came in lower than initial ask,awareness,Open Enrollment Campaign (Awareness)
LEAD-000070,CLI-00114,,hospitality,ACS,ACS:Fallowfield,ACS-SCR-000057,repeat_client_inquiry,2026-07-27,quote_sent,2026-08-08,2026-09-12,33,6,198820.21,20.01,13.98,0.4313,0,True,budget_mismatch,Indicated budget could not cover requested screen count,conversion,Loyalty Membership Drive (Conversion)
LEAD-000071,,Regional Transit Authority,government,DAT,DAT:Harrow Point,DAT-SCR-000515,repeat_client_inquiry,2026-01-24,initial_inquiry,2026-01-30,2026-03-02,48,9,36679.65,,,,0,False,no_response_ghosted,Follow-up emails went unanswered,awareness,Public Safety Awareness (Awareness)
LEAD-000072,CLI-00185,,telecom,ACS,ACS:Sunridge Acres,ACS-SCR-000274,repeat_client_inquiry,2026-02-16,initial_inquiry,2026-02-20,2026-04-13,16,6,5297.62,,,,0,False,no_response_ghosted,Follow-up emails went unanswered,reach,Device Trade-in Campaign (Reach)
LEAD-000073,,Core Labs,technology,LH,LH:Cathedral Heights,LH-SCR-002743,trade_show,2025-11-08,initial_inquiry,2025-11-15,2025-12-28,17,1,67556.86,,,,0,False,budget_mismatch,Indicated budget could not cover requested screen count,awareness,Enterprise Awareness Push (Awareness)
LEAD-000074,,Skyline Realty,real_estate,ACS,ACS:Maple Grove,ACS-SCR-001248,website_form,2025-09-10,initial_inquiry,2025-09-13,2025-09-28,66,12,125795.82,,,,0,False,budget_mismatch,Approved budget came in lower than initial ask,awareness,Open House Weekend (Awareness)
LEAD-000075,CLI-00388,,nonprofit,DAT,DAT:Milltown,DAT-SCR-001692,repeat_client_inquiry,2025-11-09,initial_inquiry,2025-11-14,2025-12-26,79,1,172330.9,,,,0,False,budget_mismatch,Approved budget came in lower than initial ask,reach,Volunteer Recruitment Drive (Reach)
LEAD-000076,CLI-00330,,entertainment,ACS,ACS:Pine Hatch,ACS-SCR-000365,referral,2025-10-20,initial_inquiry,2025-10-25,2025-12-10,53,10,38711.4,,,,0,False,targeting_mismatch,Requested geography did not match available inventory,conversion,Concert Tour Announcement (Conversion)
LEAD-000077,CLI-00438,,cpg,ACS,ACS:Fallowfield,ACS-SCR-000311,cold_outreach,2026-06-15,negotiating,2026-07-11,2026-08-15,33,1,42588.57,19.39,17.97,0.079,1,False,contract_terms_disagreement,Disagreement over cancellation/make-good terms,conversion,Brand Awareness Campaign (Conversion)
LEAD-000078,,Meridian Advisors,finance,DAT,DAT:Bellwood,DAT-SCR-002276,website_form,2026-02-22,verbal_agreement,2026-03-24,2026-04-21,15,5,33772.29,54.87,,,2,False,inventory_unavailable,Requested screens already booked for the flight dates,conversion,Retirement Planning Awareness (Conversion)
LEAD-000079,CLI-00184,,cpg,LH,LH:East Commons,LH-SCR-000063,repeat_client_inquiry,2025-10-14,negotiating,2025-11-03,2025-12-25,17,19,37321.22,71.11,56.87,0.2504,1,False,price_too_high,Quoted rate exceeded client ceiling,conversion,Flavor Launch Promo (Conversion)
LEAD-000080,,Torque Dealerships,auto,LH,LH:North Terminus,LH-SCR-002873,repeat_client_inquiry,2025-11-16,quote_sent,2025-11-28,2026-01-25,21,5,27949.68,98.51,81.85,0.2035,0,True,budget_mismatch,Approved budget came in lower than initial ask,frequency,Test Drive Promotion (Frequency)
LEAD-000081,,Achieve Academy,education,LH,LH:Cathedral Heights,LH-SCR-000644,trade_show,2026-03-16,initial_inquiry,2026-03-20,2026-04-16,53,9,70164.98,,,,0,False,no_response_ghosted,Follow-up emails went unanswered,frequency,Enrollment Drive (Frequency)
LEAD-000082,CLI-00469,,nonprofit,LH,LH:East Commons,LH-SCR-002587,inbound_call,2025-12-27,quote_sent,2025-12-30,2026-01-11,65,1,194074.64,98.72,78.21,0.2622,0,False,price_too_high,Quoted rate exceeded client ceiling,conversion,Fundraising Awareness (Conversion)
LEAD-000083,,Vertex Systems,technology,ACS,ACS:Old Orchard,ACS-SCR-000480,cold_outreach,2025-09-24,initial_inquiry,2025-09-26,2025-10-24,28,7,128739.04,,,,0,False,targeting_mismatch,Audience profile was not a fit for offered screens,awareness,App Download Drive (Awareness)
LEAD-000084,CLI-00323,,auto,LH,LH:Downtown Core,LH-SCR-004006,cold_outreach,2026-04-07,initial_inquiry,2026-04-14,2026-06-09,27,15,44056.04,,,,0,False,timing_conflict,Creative was not ready in time for requested start,awareness,Year-End Clearance Event (Awareness)
LEAD-000085,,Drive Automotive,auto,DAT,DAT:Milltown,DAT-SCR-000355,cold_outreach,2026-02-02,initial_inquiry,2026-02-08,2026-04-02,14,9,68329.79,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,reach,New Model Launch (Reach)
LEAD-000086,CLI-00165,,technology,ACS,ACS:Sunridge Acres,ACS-SCR-001720,cold_outreach,2026-01-16,initial_inquiry,2026-01-22,2026-03-12,25,6,50980.31,,,,0,False,timing_conflict,Creative was not ready in time for requested start,reach,Enterprise Awareness Push (Reach)
LEAD-000087,CLI-00121,,hospitality,ACS,ACS:Greenhollow,ACS-SCR-000655,trade_show,2026-07-06,negotiating,2026-07-31,2026-08-30,42,8,203824.7,63.13,53.06,0.1898,2,False,price_too_high,Quoted rate exceeded client ceiling,reach,Loyalty Membership Drive (Reach)
LEAD-000088,CLI-00258,,government,LH,LH:Downtown Core,LH-SCR-004015,repeat_client_inquiry,2026-07-13,quote_sent,2026-07-26,2026-09-13,55,2,613506.86,260.17,192.75,0.3498,0,False,price_too_high,Quoted rate exceeded client ceiling,awareness,Civic Engagement Campaign (Awareness)
LEAD-000089,CLI-00380,,technology,LH,LH:Financial Row,LH-SCR-005570,cold_outreach,2026-07-08,quote_sent,2026-07-19,2026-08-18,49,13,567720.91,237.8,184.13,0.2915,0,False,price_too_high,Quoted rate exceeded client ceiling,conversion,App Download Drive (Conversion)
LEAD-000090,,Summit Auto Group,auto,ACS,ACS:Windmere Park,ACS-SCR-000593,cold_outreach,2025-12-12,contract_sent,2026-01-02,2026-01-17,7,21,24105.09,16.96,17.51,-0.0314,4,False,campaign_cancelled_internally,Internal reorg delayed campaign approval indefinitely,frequency,EV Awareness Campaign (Frequency)
LEAD-000091,,Corner Boutique,retail,DAT,DAT:Bellwood,DAT-SCR-002801,website_form,2026-04-09,initial_inquiry,2026-04-11,2026-05-15,31,11,6717.72,,,,0,False,no_response_ghosted,Inquiry appears to have been exploratory only,frequency,New Store Opening (Frequency)
LEAD-000092,CLI-00379,,real_estate,DAT,DAT:Kestrel Heights,DAT-SCR-000073,repeat_client_inquiry,2026-05-20,initial_inquiry,2026-05-25,2026-06-10,17,2,8000.8,,,,0,False,targeting_mismatch,Requested geography did not match available inventory,reach,New Development Launch (Reach)
LEAD-000093,CLI-00243,,auto,LH,LH:Riverside Junction,LH-SCR-004273,repeat_client_inquiry,2026-07-05,quote_sent,2026-07-16,2026-09-03,46,17,25850.92,52.47,,,0,False,inventory_unavailable,Corridor exclusivity request could not be honored,frequency,New Model Launch (Frequency)
LEAD-000094,,Nimbus Systems,technology,DAT,DAT:Ashford Row,DAT-SCR-000062,inbound_call,2026-02-28,quote_sent,2026-03-12,2026-03-24,62,1,76886.54,33.49,26.58,0.26,0,False,price_too_high,Quoted rate exceeded client ceiling,conversion,App Download Drive (Conversion)
