client_id,company_name,industry,client_tier,home_city_id,active_cities,preferred_geographies,typical_campaign_budget,budget_variance_pct,campaign_frequency,avg_campaign_duration_days,bundle_affinity,negotiation_leverage,relationship_start_date,account_status
CLI-00033,Urban Mart,retail,local_business,DAT,DAT,DAT:Bellwood,4300.0,0.5,one_off,24,single_screen,low,2023-11-22,active
CLI-00034,Foundation Academy,education,regional_chain,DAT,DAT|LH,DAT:Milltown|DAT:Central Yard|LH:Riverside Junction|LH:Old Mill District,14600.0,0.2,quarterly,60,moderate_bundle,medium,2021-06-21,active
CLI-00035,Summit Dealerships,auto,regional_chain,LH,LH|ACS,LH:Harborfront|LH:Old Mill District|ACS:Cobblestone Village|ACS:Southgate Commons,41600.0,0.26,seasonal,14,moderate_bundle,high,2025-07-08,active
CLI-00036,Drive Auto Group,auto,local_business,LH,LH,LH:East Commons,12000.0,0.34,quarterly,9,single_screen,low,2020-12-13,lapsed
CLI-00037,Vertex Labs,technology,national_chain,LH,LH|ACS|DAT,LH:Downtown Core|LH:Cathedral Heights|LH:East Commons|ACS:Maple Grove|ACS:Southgate Commons|ACS:Greenhollow|DAT:Founders Square|DAT:Milltown|DAT:Ashford Row,593500.0,0.15,seasonal,33,heavy_bundle,high,2021-02-01,active
CLI-00038,Studio Media Group,entertainment,local_business,ACS,ACS,ACS:Maple Grove,12000.0,0.5,quarterly,10,single_screen,low,2023-05-20,active
CLI-00039,Meridian Advisors,finance,regional_chain,LH,LH,LH:Financial Row|LH:Harborfront,23300.0,0.17,seasonal,56,heavy_bundle,medium,2023-08-27,active
CLI-00040,Core Software,technology,regional_chain,DAT,DAT,DAT:Lakeside Loop|DAT:Harrow Point,35400.0,0.17,seasonal,60,moderate_bundle,low,2023-06-04,active
CLI-00041,Pure Beverages,cpg,local_business,ACS,ACS,ACS:Cobblestone Village,12500.0,0.54,one_off,15,single_screen,low,2019-02-18,active
CLI-00042,Urban Goods,retail,local_business,ACS,ACS,ACS:Pine Hatch,8400.0,0.35,one_off,21,single_screen,low,2024-09-03,active
CLI-00043,Nature Brands,cpg,local_business,DAT,DAT,DAT:Union Flats,3400.0,0.51,one_off,19,single_screen,low,2022-11-03,active
CLI-00044,Vital Health Group,healthcare,local_business,DAT,DAT,DAT:Milltown,11600.0,0.51,one_off,13,moderate_bundle,low,2019-05-23,active
CLI-00045,Prime Boutique,retail,local_business,ACS,ACS,ACS:Brookview,8900.0,0.27,quarterly,23,moderate_bundle,low,2025-05-30,active
CLI-00046,Community Relief Fund,nonprofit,local_business,DAT,DAT,DAT:Lakeside Loop,7900.0,0.52,seasonal,9,single_screen,low,2024-01-10,active
CLI-00047,Hope Trust,nonprofit,regional_chain,DAT,DAT|LH,DAT:Ashford Row|DAT:Milltown|LH:East Commons|LH:Harborfront,18400.0,0.31,one_off,14,moderate_bundle,medium,2023-02-01,active
CLI-00048,Highway Automotive,auto,local_business,LH,LH,LH:East Commons,14300.0,0.34,one_off,7,moderate_bundle,low,2025-09-21,active
CLI-00049,Prime Outfitters,retail,local_business,ACS,ACS,ACS:Greenhollow,7800.0,0.25,seasonal,16,single_screen,low,2024-05-21,active
CLI-00050,Drive Motors,auto,local_business,ACS,ACS,ACS:Windmere Park,13100.0,0.43,seasonal,14,moderate_bundle,low,2019-12-18,active
CLI-00051,Nature Beverages,cpg,national_chain,LH,LH|ACS|DAT,LH:North Terminus|LH:Harborfront|LH:Riverside Junction|ACS:Old Orchard|ACS:Cobblestone Village|ACS:Windmere Park|DAT:Ashford Row|DAT:Union Flats|DAT:Harrow Point,369900.0,0.15,one_off,89,heavy_bundle,high,2021-06-10,lapsed
CLI-00052,Highstreet Outfitters,retail,local_business,LH,LH,LH:Financial Row,14500.0,0.29,one_off,13,single_screen,low,2021-10-13,active
CLI-00053,Live Live Events,entertainment,national_chain,LH,LH|ACS|DAT,LH:North Terminus|LH:Financial Row|LH:Riverside Junction|ACS:Fallowfield|ACS:Old Orchard|ACS:Greenhollow|DAT:Bellwood|DAT:Milltown|DAT:Founders Square,101400.0,0.11,always_on,38,moderate_bundle,medium,2018-09-18,active
CLI-00054,Live Productions,entertainment,regional_chain,DAT,DAT|LH,DAT:Central Yard|DAT:Union Flats|LH:Cathedral Heights|LH:East Commons,72200.0,0.23,always_on,30,heavy_bundle,low,2021-01-24,active
CLI-00055,Family Wellness Center,healthcare,local_business,ACS,ACS,ACS:Greenhollow,13600.0,0.43,one_off,23,single_screen,low,2025-11-27,active
CLI-00056,Care Healthcare Partners,healthcare,local_business,ACS,ACS,ACS:Brookview,16300.0,0.33,one_off,9,single_screen,medium,2021-08-15,active
CLI-00057,Highway Cars,auto,national_chain,LH,LH|ACS|DAT,LH:Market Quarter|LH:Riverside Junction|LH:Harborfront|ACS:Southgate Commons|ACS:Cobblestone Village|ACS:Pine Hatch|DAT:Harrow Point|DAT:Lakeside Loop|DAT:Ashford Row,225200.0,0.11,quarterly,49,heavy_bundle,medium,2024-11-27,active
CLI-00058,Torque Cars,auto,regional_chain,LH,LH|ACS,LH:Harborfront|LH:Riverside Junction|ACS:Southgate Commons|ACS:Old Orchard,87300.0,0.16,seasonal,32,single_screen,medium,2024-06-15,lapsed
CLI-00059,Nimbus Software,technology,local_business,ACS,ACS,ACS:Old Orchard,14300.0,0.25,seasonal,27,single_screen,low,2022-07-01,active
CLI-00060,Bridge Coalition,nonprofit,local_business,DAT,DAT,DAT:Kestrel Heights,3300.0,0.25,one_off,17,single_screen,low,2025-10-04,active
CLI-00061,Torque Automotive,auto,local_business,ACS,ACS,ACS:Old Orchard,6100.0,0.41,one_off,27,single_screen,low,2023-06-16,active
CLI-00062,Trust Financial,finance,regional_chain,ACS,ACS|DAT,ACS:Pine Hatch|ACS:Maple Grove|DAT:Central Yard|DAT:Northbank,52600.0,0.31,quarterly,39,moderate_bundle,medium,2025-03-05,active
CLI-00063,Community Medical,healthcare,national_chain,DAT,DAT|LH|ACS,DAT:Ashford Row|DAT:Bellwood|DAT:Kestrel Heights|LH:East Commons|LH:Harborfront|LH:Cathedral Heights|ACS:Southgate Commons|ACS:Brookview|ACS:Windmere Park,141700.0,0.21,quarterly,91,heavy_bundle,high,2024-08-31,lapsed
CLI-00064,Cornerstone Realty,real_estate,regional_chain,DAT,DAT,DAT:Founders Square|DAT:Lakeside Loop,29900.0,0.19,always_on,39,single_screen,medium,2024-12-15,active
CLI-00065,ByteWorks Labs,technology,regional_chain,DAT,DAT,DAT:Lakeside Loop|DAT:Central Yard,66300.0,0.26,quarterly,54,moderate_bundle,medium,2023-11-03,active
CLI-00066,Metro Auto Group,auto,local_business,LH,LH,LH:Riverside Junction,11100.0,0.32,seasonal,26,single_screen,low,2021-04-29,active
CLI-00067,Encore Media Group,entertainment,local_business,ACS,ACS,ACS:Pine Hatch,10900.0,0.26,one_off,11,single_screen,low,2020-11-23,active
CLI-00068,Legacy Real Estate Group,real_estate,regional_chain,LH,LH|ACS,LH:Harborfront|LH:East Commons|ACS:Greenhollow|ACS:Brookview,80500.0,0.18,always_on,60,single_screen,medium,2023-10-21,active
CLI-00069,Vertex Systems,technology,local_business,ACS,ACS,ACS:Cobblestone Village,18300.0,0.31,seasonal,15,single_screen,low,2024-05-27,active
CLI-00070,Harbor Developments,real_estate,national_chain,LH,LH|DAT,LH:Downtown Core|LH:Riverside Junction|LH:North Terminus|DAT:Union Flats|DAT:Northbank|DAT:Harrow Point,369700.0,0.2,quarterly,43,heavy_bundle,high,2021-06-20,active
CLI-00071,Urban Outfitters,retail,local_business,LH,LH,LH:Riverside Junction,5100.0,0.47,one_off,8,single_screen,low,2020-01-24,lapsed
CLI-00072,Trend Outfitters,retail,regional_chain,ACS,ACS,ACS:Greenhollow|ACS:Maple Grove,44300.0,0.27,one_off,16,single_screen,medium,2025-06-10,active
CLI-00073,Sterling Capital Partners,finance,local_business,LH,LH,LH:Downtown Core,13600.0,0.39,one_off,11,moderate_bundle,low,2021-07-30,active
CLI-00074,Capital Financial,finance,local_business,LH,LH,LH:Downtown Core,16700.0,0.52,seasonal,26,single_screen,medium,2021-02-08,active
CLI-00075,Trend Boutique,retail,local_business,LH,LH,LH:Old Mill District,3700.0,0.48,seasonal,7,single_screen,low,2021-12-31,active
CLI-00076,Landmark Homes,real_estate,local_business,DAT,DAT,DAT:Ashford Row,7700.0,0.34,always_on,8,single_screen,low,2020-08-05,active
CLI-00077,Trend Goods,retail,regional_chain,LH,LH,LH:Harborfront|LH:Financial Row,17300.0,0.22,always_on,58,moderate_bundle,low,2021-09-28,active
CLI-00078,Cinema Studios,entertainment,national_chain,LH,LH|ACS|DAT,LH:Riverside Junction|LH:Harborfront|LH:East Commons|ACS:Southgate Commons|ACS:Fallowfield|ACS:Sunridge Acres|DAT:Northbank|DAT:Ashford Row|DAT:Bellwood,330500.0,0.13,always_on,110,heavy_bundle,high,2019-08-15,active
CLI-00079,Nimbus Technologies,technology,regional_chain,ACS,ACS|LH,ACS:Greenhollow|ACS:Maple Grove|LH:Downtown Core|LH:Old Mill District,68000.0,0.18,quarterly,23,single_screen,low,2026-02-26,active
CLI-00080,Harbor Inn & Suites,hospitality,regional_chain,LH,LH|ACS,LH:East Commons|LH:North Terminus|ACS:Old Orchard|ACS:Cobblestone Village,28300.0,0.19,one_off,16,heavy_bundle,high,2025-08-26,active
CLI-00081,Highstreet Goods,retail,local_business,DAT,DAT,DAT:Union Flats,6800.0,0.38,one_off,7,moderate_bundle,low,2022-07-04,lapsed
CLI-00082,Vital Medical,healthcare,local_business,ACS,ACS,ACS:Maple Grove,10100.0,0.28,seasonal,22,single_screen,low,2025-08-12,active
CLI-00083,Ledger Capital Partners,finance,local_business,ACS,ACS,ACS:Old Orchard,19200.0,0.25,one_off,22,single_screen,medium,2021-02-01,active
CLI-00084,Vital Clinics,healthcare,local_business,LH,LH,LH:East Commons,6400.0,0.3,seasonal,27,single_screen,medium,2020-05-04,active
CLI-00085,Highstreet Boutique,retail,national_chain,DAT,DAT|LH|ACS,DAT:Northbank|DAT:Central Yard|DAT:Union Flats|LH:Uptown Crescent|LH:East Commons|LH:Riverside Junction|ACS:Greenhollow|ACS:Brookview|ACS:Fallowfield,270900.0,0.15,always_on,118,heavy_bundle,high,2021-12-20,active
CLI-00086,Link Wireless,telecom,local_business,ACS,ACS,ACS:Old Orchard,6700.0,0.32,seasonal,17,moderate_bundle,low,2024-06-26,active
CLI-00087,Signal Wireless,telecom,national_chain,DAT,DAT|LH|ACS,DAT:Kestrel Heights|DAT:Ashford Row|DAT:Bellwood|LH:Harborfront|LH:East Commons|LH:North Terminus|ACS:Windmere Park|ACS:Brookview|ACS:Sunridge Acres,262100.0,0.22,always_on,68,heavy_bundle,medium,2018-06-24,lapsed
CLI-00088,Quantum Technologies,technology,local_business,LH,LH,LH:Financial Row,16200.0,0.46,always_on,23,single_screen,low,2023-10-01,active
CLI-00089,Pulse Wireless,telecom,national_chain,ACS,ACS|LH|DAT,ACS:Pine Hatch|ACS:Old Orchard|ACS:Brookview|LH:North Terminus|LH:Riverside Junction|LH:East Commons|DAT:Kestrel Heights|DAT:Milltown|DAT:Ashford Row,167400.0,0.1,quarterly,85,heavy_bundle,medium,2020-12-05,active
CLI-00090,Nature Foods,cpg,local_business,ACS,ACS,ACS:Maple Grove,14000.0,0.41,quarterly,28,single_screen,low,2026-07-07,active
CLI-00091,Corner Boutique,retail,local_business,LH,LH,LH:Market Quarter,14400.0,0.31,one_off,18,single_screen,low,2021-04-19,active
CLI-00092,Encore Live Events,entertainment,regional_chain,ACS,ACS,ACS:Old Orchard|ACS:Cobblestone Village,60800.0,0.17,seasonal,53,single_screen,medium,2022-02-24,active
CLI-00093,Prime Mart,retail,local_business,ACS,ACS,ACS:Brookview,9300.0,0.32,seasonal,19,single_screen,medium,2025-11-10,active
CLI-00094,Cornerstone Real Estate Group,real_estate,regional_chain,LH,LH,LH:Riverside Junction|LH:Market Quarter,73600.0,0.24,quarterly,32,moderate_bundle,medium,2021-05-15,active
CLI-00095,Pulse Telecom,telecom,regional_chain,ACS,ACS|DAT,ACS:Maple Grove|ACS:Old Orchard|DAT:Union Flats|DAT:Bellwood,36400.0,0.25,quarterly,41,single_screen,high,2024-12-02,lapsed
CLI-00096,Urban Boutique,retail,local_business,ACS,ACS,ACS:Southgate Commons,4700.0,0.5,seasonal,27,single_screen,low,2025-10-29,active
CLI-00097,Trend Mart,retail,local_business,ACS,ACS,ACS:Cobblestone Village,4800.0,0.52,one_off,24,moderate_bundle,low,2025-08-14,active
CLI-00098,Cornerstone Homes,real_estate,regional_chain,ACS,ACS,ACS:Brookview|ACS:Pine Hatch,29700.0,0.22,one_off,55,moderate_bundle,medium,2022-12-05,active
CLI-00099,Harbor Real Estate Group,real_estate,local_business,DAT,DAT,DAT:Union Flats,10000.0,0.41,one_off,13,single_screen,low,2026-01-16,active
CLI-00100,Comfort Lodging,hospitality,local_business,DAT,DAT,DAT:Northbank,12800.0,0.35,seasonal,13,single_screen,low,2023-01-29,active
CLI-00101,Community Coalition,nonprofit,local_business,LH,LH,LH:Uptown Crescent,5800.0,0.37,one_off,25,single_screen,low,2024-07-03,active
CLI-00102,Nimbus Labs,technology,regional_chain,DAT,DAT,DAT:Milltown|DAT:Kestrel Heights,87900.0,0.17,quarterly,16,moderate_bundle,medium,2025-06-30,active
CLI-00103,Foundation Education Group,education,national_chain,DAT,DAT|LH|ACS,DAT:Lakeside Loop|DAT:Ashford Row|DAT:Bellwood|LH:Riverside Junction|LH:Market Quarter|LH:Harborfront|ACS:Maple Grove|ACS:Windmere Park|ACS:Pine Hatch,240600.0,0.21,quarterly,93,single_screen,medium,2020-11-29,active
CLI-00104,Highstreet Retail Co,retail,regional_chain,DAT,DAT|LH,DAT:Kestrel Heights|DAT:Bellwood|LH:Harborfront|LH:North Terminus,27700.0,0.18,seasonal,14,single_screen,medium,2025-08-23,active
CLI-00105,Golden Consumer Goods,cpg,local_business,ACS,ACS,ACS:Old Orchard,5500.0,0.27,seasonal,30,moderate_bundle,low,2025-09-08,active
CLI-00106,Summit Automotive,auto,national_chain,ACS,ACS|LH,ACS:Old Orchard|ACS:Maple Grove|ACS:Windmere Park|LH:North Terminus|LH:Market Quarter|LH:Downtown Core,259000.0,0.18,always_on,51,heavy_bundle,high,2022-02-01,active
CLI-00107,Torque Dealerships,auto,local_business,LH,LH,LH:Financial Row,13400.0,0.44,seasonal,20,single_screen,low,2023-08-01,active
CLI-00108,Corner Goods,retail,national_chain,DAT,DAT|ACS,DAT:Founders Square|DAT:Lakeside Loop|DAT:Central Yard|ACS:Sunridge Acres|ACS:Southgate Commons|ACS:Pine Hatch,490000.0,0.11,always_on,79,heavy_bundle,high,2020-07-28,active
CLI-00109,Trust Advisors,finance,regional_chain,LH,LH,LH:Downtown Core|LH:Market Quarter,96900.0,0.18,quarterly,49,heavy_bundle,medium,2025-09-05,active
CLI-00110,Daily Foods,cpg,regional_chain,LH,LH,LH:Harborfront|LH:Riverside Junction,60400.0,0.34,quarterly,51,moderate_bundle,medium,2025-08-25,active
CLI-00111,Golden Brands,cpg,local_business,ACS,ACS,ACS:Brookview,9700.0,0.39,one_off,25,single_screen,low,2023-05-20,active
CLI-00112,Meridian Capital Partners,finance,local_business,LH,LH,LH:Harborfront,18300.0,0.4,one_off,10,single_screen,low,2023-02-03,active
CLI-00113,Drive Cars,auto,local_business,LH,LH,LH:Harborfront,16800.0,0.42,seasonal,25,single_screen,low,2021-11-09,active
CLI-00114,Regency Hospitality Group,hospitality,national_chain,ACS,ACS|DAT,ACS:Fallowfield|ACS:Cobblestone Village|ACS:Maple Grove|DAT:Central Yard|DAT:Kestrel Heights|DAT:Northbank,256300.0,0.21,always_on,38,heavy_bundle,high,2024-08-16,active
CLI-00115,Skyline Properties,real_estate,national_chain,DAT,DAT|LH|ACS,DAT:Ashford Row|DAT:Founders Square|DAT:Harrow Point|LH:Harborfront|LH:North Terminus|LH:Old Mill District|ACS:Brookview|ACS:Southgate Commons|ACS:Maple Grove,356400.0,0.08,quarterly,36,heavy_bundle,high,2020-03-18,active
CLI-00116,Landmark Properties,real_estate,local_business,DAT,DAT,DAT:Harrow Point,12500.0,0.39,one_off,18,single_screen,low,2024-09-28,active
CLI-00117,Bright Education Group,education,local_business,LH,LH,LH:Harborfront,7800.0,0.36,one_off,30,single_screen,low,2022-04-25,active
CLI-00118,Hope Relief Fund,nonprofit,local_business,LH,LH,LH:Riverside Junction,6300.0,0.29,seasonal,14,single_screen,low,2025-01-04,active
CLI-00119,Sterling Credit Union,finance,local_business,LH,LH,LH:Harborfront,17000.0,0.35,one_off,12,single_screen,low,2021-03-22,active
CLI-00120,Highway Motors,auto,local_business,ACS,ACS,ACS:Southgate Commons,18300.0,0.38,always_on,15,moderate_bundle,low,2023-05-22,active
CLI-00121,Comfort Hospitality Group,hospitality,national_chain,LH,LH|ACS,LH:Cathedral Heights|LH:Riverside Junction|LH:North Terminus|ACS:Greenhollow|ACS:Southgate Commons|ACS:Brookview,186900.0,0.13,always_on,35,moderate_bundle,high,2024-02-01,active
CLI-00122,Vital Healthcare Partners,healthcare,regional_chain,DAT,DAT|ACS,DAT:Ashford Row|DAT:Union Flats|ACS:Old Orchard|ACS:Pine Hatch,29200.0,0.21,one_off,14,moderate_bundle,medium,2026-01-05,active
CLI-00123,Trend Retail Co,retail,local_business,ACS,ACS,ACS:Sunridge Acres,11000.0,0.32,quarterly,25,single_screen,low,2022-06-21,active
CLI-00124,Urban Retail Co,retail,regional_chain,ACS,ACS|DAT,ACS:Pine Hatch|ACS:Brookview|DAT:Union Flats|DAT:Ashford Row,58900.0,0.24,quarterly,15,moderate_bundle,low,2025-08-22,active
CLI-00125,Highstreet Mart,retail,regional_chain,LH,LH,LH:Market Quarter|LH:Riverside Junction,42800.0,0.2,one_off,42,heavy_bundle,medium,2026-02-15,active
CLI-00126,Family Healthcare Partners,healthcare,regional_chain,LH,LH,LH:Financial Row|LH:Harborfront,55600.0,0.32,quarterly,23,moderate_bundle,medium,2026-06-05,lapsed
CLI-00127,Community Health Group,healthcare,regional_chain,LH,LH,LH:East Commons|LH:North Terminus,38800.0,0.2,quarterly,35,heavy_bundle,medium,2023-01-14,active
CLI-00128,Cinema Productions,entertainment,local_business,DAT,DAT,DAT:Northbank,6000.0,0.38,one_off,27,single_screen,low,2022-12-30,active
CLI-00129,Meridian Financial,finance,local_business,ACS,ACS,ACS:Greenhollow,16500.0,0.52,one_off,8,single_screen,low,2019-01-10,active
CLI-00130,Summit Cars,auto,local_business,LH,LH,LH:Old Mill District,8300.0,0.44,one_off,10,moderate_bundle,medium,2023-08-16,active
CLI-00131,Public Bureau,government,local_business,DAT,DAT,DAT:Ashford Row,5500.0,0.37,one_off,16,single_screen,low,2023-05-31,active
CLI-00132,Golden Snacks,cpg,local_business,DAT,DAT,DAT:Lakeside Loop,9000.0,0.41,seasonal,26,moderate_bundle,low,2022-11-22,active
CLI-00133,Capital Credit Union,finance,regional_chain,LH,LH|ACS,LH:North Terminus|LH:Harborfront|ACS:Cobblestone Village|ACS:Sunridge Acres,41700.0,0.35,one_off,32,single_screen,medium,2022-09-24,active
CLI-00134,Trust Capital Partners,finance,local_business,DAT,DAT,DAT:Kestrel Heights,12000.0,0.55,seasonal,28,single_screen,low,2022-09-06,active
CLI-00135,Achieve Academy,education,regional_chain,DAT,DAT,DAT:Lakeside Loop|DAT:Central Yard,45700.0,0.27,seasonal,45,heavy_bundle,low,2023-07-02,active
CLI-00136,Cinema Media Group,entertainment,local_business,ACS,ACS,ACS:Cobblestone Village,7200.0,0.36,seasonal,23,single_screen,low,2021-01-11,active
CLI-00137,Vital Wellness Center,healthcare,regional_chain,LH,LH|DAT,LH:Old Mill District|LH:Market Quarter|DAT:Founders Square|DAT:Northbank,30000.0,0.24,one_off,14,moderate_bundle,high,2023-04-09,lapsed
CLI-00138,Care Health Group,healthcare,local_business,DAT,DAT,DAT:Lakeside Loop,9000.0,0.39,seasonal,8,single_screen,medium,2019-01-18,active
CLI-00139,Capital Capital Partners,finance,local_business,DAT,DAT,DAT:Harrow Point,12900.0,0.51,seasonal,20,single_screen,low,2020-01-17,active
CLI-00140,Metro Dealerships,auto,local_business,ACS,ACS,ACS:Old Orchard,16100.0,0.55,seasonal,20,single_screen,medium,2024-04-20,active
CLI-00141,Care Medical,healthcare,regional_chain,DAT,DAT,DAT:Harrow Point|DAT:Lakeside Loop,36700.0,0.29,always_on,14,moderate_bundle,low,2026-06-17,active
CLI-00142,Summit Motors,auto,local_business,ACS,ACS,ACS:Brookview,17200.0,0.4,seasonal,11,single_screen,low,2024-11-15,active
CLI-00143,Corner Outfitters,retail,local_business,DAT,DAT,DAT:Kestrel Heights,8600.0,0.38,seasonal,8,single_screen,low,2025-01-07,active
CLI-00144,Trust Credit Union,finance,local_business,LH,LH,LH:Harborfront,10100.0,0.48,one_off,8,single_screen,low,2026-02-20,active
CLI-00145,Fresh Foods,cpg,national_chain,LH,LH|ACS|DAT,LH:Financial Row|LH:North Terminus|LH:Harborfront|ACS:Cobblestone Village|ACS:Brookview|ACS:Greenhollow|DAT:Founders Square|DAT:Union Flats|DAT:Ashford Row,238700.0,0.11,quarterly,67,moderate_bundle,high,2021-04-23,active
CLI-00146,Sterling Advisors,finance,national_chain,DAT,DAT|LH|ACS,DAT:Central Yard|DAT:Harrow Point|DAT:Union Flats|LH:Downtown Core|LH:Cathedral Heights|LH:Financial Row|ACS:Maple Grove|ACS:Old Orchard|ACS:Sunridge Acres,246500.0,0.2,quarterly,46,heavy_bundle,high,2022-12-10,active
CLI-00147,Harbor Properties,real_estate,national_chain,ACS,ACS|LH|DAT,ACS:Greenhollow|ACS:Brookview|ACS:Pine Hatch|LH:Financial Row|LH:Cathedral Heights|LH:Downtown Core|DAT:Lakeside Loop|DAT:Kestrel Heights|DAT:Central Yard,502600.0,0.18,one_off,79,heavy_bundle,medium,2025-06-19,active
