poi_id,city_id,city_zone,name,poi_type,scale,est_daily_footfall,anchor_location_id,distance_to_location_km,distance_to_location_mi,is_network_hub,side_of_road,peak_daypart
LH-POI-0025,LH,Market Quarter,Landmark Municipal Building,government_building,neighborhood,4720,LH-LOC-0144,0.465,0.289,False,far_side,morning
LH-POI-0026,LH,Harborfront,Harborfront Plaza,tourist_landmark,minor,390,LH-LOC-0127,0.021,0.013,False,near_side,evening
LH-POI-0027,LH,Old Mill District,Summit Old City Hall,government_building,neighborhood,3532,LH-LOC-0208,0.341,0.212,False,near_side,morning
LH-POI-0028,LH,North Terminus,Founders Business Park,office_park,flagship,9292,LH-LOC-0223,0.203,0.126,False,near_side,evening
LH-POI-0029,LH,Cathedral Heights,Metro Fresh Market,grocery_anchor,flagship,6547,LH-LOC-0251,0.775,0.482,False,far_side,midday
LH-POI-0030,LH,East Commons,Crescent East Residences,residential_tower,flagship,7097,LH-LOC-0245,0.84,0.522,False,far_side,morning
LH-POI-0031,LH,East Commons,East Commons General Hospital,hospital,major,3933,LH-LOC-0305,0.57,0.354,False,near_side,midday
LH-POI-0032,LH,Downtown Core,Downtown Core Museum,museum,flagship,37574,LH-LOC-0106,0.469,0.291,True,near_side,midday
LH-POI-0033,LH,Downtown Core,Founders Downtown Hotel & Conference Center,hotel_convention,neighborhood,4586,LH-LOC-0106,0.198,0.123,True,near_side,night
LH-POI-0034,LH,Harborfront,Metro Harborfront Corporate Center,office_park,major,9601,LH-LOC-0277,0.757,0.47,False,near_side,morning
LH-POI-0035,LH,Uptown Crescent,Central Uptown University,university,major,10428,LH-LOC-0014,0.486,0.302,True,near_side,morning
LH-POI-0036,LH,Uptown Crescent,Crescent Uptown Entertainment District,entertainment_district,neighborhood,2282,LH-LOC-0014,0.019,0.012,True,far_side,evening
LH-POI-0037,LH,Uptown Crescent,Union Fresh Market,grocery_anchor,neighborhood,3810,LH-LOC-0014,0.204,0.127,True,near_side,evening
LH-POI-0038,LH,North Terminus,Summit Historic District,tourist_landmark,major,5920,LH-LOC-0028,0.458,0.285,True,far_side,evening
LH-POI-0039,LH,North Terminus,Union Residences,residential_tower,minor,300,LH-LOC-0028,0.123,0.076,True,far_side,night
LH-POI-0040,LH,North Terminus,Cedar North Shopping Center,shopping_mall,minor,534,LH-LOC-0028,0.187,0.116,True,near_side,evening
LH-POI-0041,LH,North Terminus,Central Nightlife Quarter,entertainment_district,minor,534,LH-LOC-0028,0.065,0.04,True,far_side,afternoon
LH-POI-0042,LH,Downtown Core,Downtown Core Office Commons,office_park,major,18466,LH-LOC-0326,0.496,0.308,True,near_side,evening
LH-POI-0043,LH,Downtown Core,Cedar Market,grocery_anchor,minor,2024,LH-LOC-0326,0.067,0.042,True,far_side,afternoon
LH-POI-0044,LH,Uptown Crescent,Uptown Crescent Galleria,shopping_mall,major,9562,LH-LOC-0149,0.788,0.49,False,near_side,afternoon
LH-POI-0045,LH,Financial Row,North Financial Corporate Campus,corporate_campus,minor,585,LH-LOC-0160,0.272,0.169,False,near_side,morning
LH-POI-0046,LH,East Commons,East Commons Civic Center,government_building,neighborhood,1882,LH-LOC-0325,0.379,0.235,False,far_side,midday
LH-POI-0047,LH,Riverside Junction,Cedar Riverside Towers,residential_tower,neighborhood,1278,LH-LOC-0322,0.453,0.281,False,near_side,evening
LH-POI-0048,LH,Cathedral Heights,Harbor Cathedral Tech Campus,corporate_campus,flagship,8349,LH-LOC-0231,1.137,0.706,False,far_side,evening
LH-POI-0049,LH,Downtown Core,Downtown Core Galleria,shopping_mall,major,18014,LH-LOC-0236,0.363,0.226,True,near_side,afternoon
LH-POI-0050,LH,Downtown Core,Cedar Business Park,office_park,minor,2012,LH-LOC-0236,0.158,0.098,True,far_side,morning
LH-POI-0051,LH,Uptown Crescent,Uptown Crescent Grocery & Provisions,grocery_anchor,major,6472,LH-LOC-0299,0.117,0.073,False,near_side,afternoon
LH-POI-0052,LH,Harborfront,Harborfront Landmark Tower,tourist_landmark,neighborhood,3618,LH-LOC-0247,0.21,0.13,False,near_side,morning
LH-POI-0053,LH,Harborfront,Union Harborfront Nightlife Quarter,entertainment_district,neighborhood,2769,LH-LOC-0002,0.292,0.181,False,far_side,afternoon
LH-POI-0054,LH,Harborfront,Founders Harborfront Plaza,tourist_landmark,neighborhood,3085,LH-LOC-0002,0.179,0.111,False,far_side,midday
LH-POI-0055,LH,Harborfront,Harborfront Fresh Market,grocery_anchor,major,11107,LH-LOC-0337,0.415,0.258,False,far_side,evening
LH-POI-0056,LH,Downtown Core,Parkview Downtown Gallery,museum,major,11332,LH-LOC-0101,0.22,0.137,True,near_side,midday
LH-POI-0057,LH,Downtown Core,Downtown Core Business Park,office_park,major,10581,LH-LOC-0101,0.267,0.166,True,near_side,midday
LH-POI-0058,LH,Downtown Core,Ivy Tech Campus,corporate_campus,neighborhood,6483,LH-LOC-0101,0.332,0.206,True,near_side,evening
LH-POI-0059,LH,Harborfront,Parkview Municipal Building,government_building,major,7523,LH-LOC-0167,0.724,0.45,False,far_side,midday
LH-POI-0060,LH,Riverside Junction,South Riverside Entertainment District,entertainment_district,major,5883,LH-LOC-0182,0.568,0.353,False,far_side,night
LH-POI-0061,LH,Downtown Core,Downtown Core Hotel & Conference Center,hotel_convention,neighborhood,5872,LH-LOC-0346,0.046,0.029,True,near_side,night
LH-POI-0062,LH,Downtown Core,North Shopping Center,shopping_mall,neighborhood,3290,LH-LOC-0346,0.127,0.079,True,far_side,afternoon
LH-POI-0063,LH,Cathedral Heights,Central Corporate Campus,corporate_campus,neighborhood,585,LH-LOC-0121,0.477,0.296,False,near_side,morning
LH-POI-0064,LH,North Terminus,Summit North Nightlife Quarter,entertainment_district,flagship,7764,LH-LOC-0323,0.283,0.176,False,far_side,evening
LH-POI-0065,LH,North Terminus,Heritage Nightlife Quarter,entertainment_district,major,4763,LH-LOC-0173,0.775,0.482,False,far_side,night
LH-POI-0066,LH,Old Mill District,Summit Old General Hospital,hospital,minor,733,LH-LOC-0278,0.274,0.17,False,near_side,night
LH-POI-0067,LH,Market Quarter,Metro Theater Row,entertainment_district,neighborhood,1648,LH-LOC-0134,0.393,0.244,False,far_side,evening
LH-POI-0068,LH,Market Quarter,South Fresh Market,grocery_anchor,major,11669,LH-LOC-0089,0.471,0.293,True,near_side,night
LH-POI-0069,LH,Market Quarter,Market Quarter Nightlife Quarter,entertainment_district,neighborhood,3887,LH-LOC-0089,0.339,0.211,True,near_side,night
LH-POI-0070,LH,Market Quarter,Crescent Shopping Center,shopping_mall,minor,861,LH-LOC-0089,0.076,0.047,True,near_side,evening
LH-POI-0071,LH,Market Quarter,Market Quarter City Hall,government_building,minor,837,LH-LOC-0089,0.144,0.089,True,near_side,midday
LH-POI-0072,LH,Old Mill District,Grand Fresh Market,grocery_anchor,neighborhood,2168,LH-LOC-0118,0.444,0.276,False,far_side,midday
LH-POI-0073,LH,North Terminus,Parkview North Shopping Center,shopping_mall,neighborhood,1754,LH-LOC-0088,0.181,0.112,True,far_side,midday
LH-POI-0074,LH,North Terminus,Cedar North Office Commons,office_park,neighborhood,1785,LH-LOC-0088,0.141,0.088,True,far_side,morning
LH-POI-0075,LH,North Terminus,Heritage Residences,residential_tower,neighborhood,1164,LH-LOC-0088,0.095,0.059,True,far_side,morning
LH-POI-0076,LH,North Terminus,North Terminus Landmark Tower,tourist_landmark,minor,260,LH-LOC-0088,0.129,0.08,True,far_side,afternoon
LH-POI-0077,LH,Cathedral Heights,Harbor Corporate Center,office_park,major,1965,LH-LOC-0291,0.474,0.295,False,near_side,night
LH-POI-0078,LH,Riverside Junction,Cedar General Hospital,hospital,neighborhood,1220,LH-LOC-0202,0.036,0.022,False,near_side,midday
LH-POI-0079,LH,Downtown Core,Union Downtown Business Park,office_park,flagship,22838,LH-LOC-0286,0.459,0.285,True,far_side,evening
LH-POI-0080,LH,Downtown Core,Downtown Core Galleria,shopping_mall,minor,533,LH-LOC-0286,0.061,0.038,True,far_side,afternoon
LH-POI-0081,LH,East Commons,Summit Fresh Market,grocery_anchor,minor,275,LH-LOC-0080,0.135,0.084,True,far_side,evening
LH-POI-0082,LH,East Commons,North East Towers,residential_tower,neighborhood,773,LH-LOC-0080,0.098,0.061,True,far_side,morning
LH-POI-0083,LH,East Commons,South East City Hall,government_building,neighborhood,1138,LH-LOC-0080,0.095,0.059,True,far_side,afternoon
LH-POI-0084,LH,Financial Row,Metro Corporate Center,office_park,major,18086,LH-LOC-0310,0.513,0.319,False,far_side,morning
LH-POI-0085,LH,Old Mill District,Metro Old Municipal Building,government_building,major,6353,LH-LOC-0073,0.434,0.27,True,far_side,morning
LH-POI-0086,LH,Old Mill District,Central Old Shopping Center,shopping_mall,neighborhood,2359,LH-LOC-0073,0.108,0.067,True,near_side,afternoon
LH-POI-0087,LH,Old Mill District,Old Mill District Health Pavilion,hospital,neighborhood,1891,LH-LOC-0073,0.048,0.03,True,far_side,evening
LH-POI-0088,LH,Old Mill District,Crescent Old Market,grocery_anchor,neighborhood,3470,LH-LOC-0073,0.076,0.047,True,near_side,afternoon
LH-POI-0089,LH,Cathedral Heights,Cathedral Heights Headquarters Campus,corporate_campus,major,3226,LH-LOC-0006,0.221,0.137,True,near_side,morning
LH-POI-0090,LH,Cathedral Heights,Cathedral Heights Shopping Center,shopping_mall,neighborhood,1842,LH-LOC-0006,0.288,0.179,True,far_side,afternoon
LH-POI-0091,LH,Cathedral Heights,South Grocery & Provisions,grocery_anchor,major,4392,LH-LOC-0006,0.492,0.306,True,far_side,morning
LH-POI-0092,LH,Uptown Crescent,Uptown Crescent College,university,major,10987,LH-LOC-0139,0.538,0.334,False,far_side,morning
LH-POI-0093,LH,East Commons,Harbor Historic District,tourist_landmark,major,2484,LH-LOC-0145,0.541,0.336,False,far_side,afternoon
LH-POI-0094,LH,Uptown Crescent,Uptown Crescent Fresh Market,grocery_anchor,major,5811,LH-LOC-0034,0.476,0.296,True,near_side,evening
LH-POI-0095,LH,Uptown Crescent,Summit Uptown Institute of Technology,university,neighborhood,3015,LH-LOC-0034,0.175,0.109,True,near_side,morning
LH-POI-0096,LH,Uptown Crescent,Uptown Crescent Galleria,shopping_mall,minor,386,LH-LOC-0034,0.026,0.016,True,far_side,evening
LH-POI-0097,LH,Uptown Crescent,Uptown Crescent Residences,residential_tower,minor,540,LH-LOC-0034,0.071,0.044,True,far_side,night
LH-POI-0098,LH,Downtown Core,Downtown Core Grand Hotel,hotel_convention,neighborhood,5188,LH-LOC-0266,0.169,0.105,True,near_side,midday
LH-POI-0099,LH,Downtown Core,Ivy Downtown Tech Campus,corporate_campus,neighborhood,6516,LH-LOC-0266,0.032,0.02,True,far_side,evening
LH-POI-0100,LH,Old Mill District,Old Mill District Entertainment District,entertainment_district,neighborhood,1588,LH-LOC-0188,0.483,0.3,False,near_side,night
LH-POI-0101,LH,Cathedral Heights,Crescent Cathedral Office Commons,office_park,flagship,11808,LH-LOC-0046,0.817,0.508,True,near_side,evening
LH-POI-0102,LH,Cathedral Heights,Ivy Cathedral Grocery & Provisions,grocery_anchor,minor,366,LH-LOC-0046,0.181,0.112,True,far_side,evening
LH-POI-0103,LH,Cathedral Heights,Harbor Cathedral Corporate Campus,corporate_campus,minor,411,LH-LOC-0046,0.185,0.115,True,near_side,morning
LH-POI-0104,LH,Riverside Junction,Harbor Mall,shopping_mall,minor,766,LH-LOC-0332,0.217,0.135,False,near_side,midday
LH-POI-0105,LH,Harborfront,Heritage Entertainment District,entertainment_district,flagship,18698,LH-LOC-0117,0.602,0.374,False,near_side,evening
LH-POI-0106,LH,East Commons,East Commons Galleria,shopping_mall,minor,436,LH-LOC-0195,0.087,0.054,False,far_side,midday
LH-POI-0107,LH,Old Mill District,Old Mill District Medical Center,hospital,neighborhood,3888,LH-LOC-0248,0.249,0.155,False,near_side,afternoon
LH-POI-0108,LH,Uptown Crescent,Ivy Shopping Center,shopping_mall,major,12652,LH-LOC-0119,0.583,0.362,False,near_side,afternoon
LH-POI-0109,LH,East Commons,Ivy Nightlife Quarter,entertainment_district,neighborhood,1631,LH-LOC-0285,0.497,0.309,False,near_side,night
LH-POI-0110,LH,Harborfront,Harbor Harborfront Residences,residential_tower,neighborhood,3706,LH-LOC-0107,0.053,0.033,False,far_side,afternoon
LH-POI-0111,LH,Uptown Crescent,Union Apartments,residential_tower,major,6400,LH-LOC-0179,0.275,0.171,False,far_side,evening
LH-POI-0112,LH,East Commons,East Commons Municipal Building,government_building,neighborhood,1168,LH-LOC-0255,0.237,0.147,False,far_side,afternoon
LH-POI-0113,LH,Cathedral Heights,Landmark Cathedral Municipal Building,government_building,minor,316,LH-LOC-0056,0.193,0.12,True,far_side,morning
LH-POI-0114,LH,Cathedral Heights,Parkview Cathedral Corporate Center,office_park,minor,430,LH-LOC-0056,0.105,0.065,True,near_side,evening
LH-POI-0115,LH,Cathedral Heights,Cathedral Heights Corporate Campus,corporate_campus,minor,261,LH-LOC-0056,0.179,0.111,True,far_side,morning
LH-POI-0116,LH,Cathedral Heights,Stone Cathedral Museum,museum,neighborhood,1152,LH-LOC-0056,0.241,0.15,True,far_side,afternoon
LH-POI-0117,LH,Financial Row,Financial Row Corporate Center,office_park,flagship,48388,LH-LOC-0320,0.739,0.459,False,far_side,morning
LH-POI-0118,LH,Uptown Crescent,Uptown Crescent Shopping Center,shopping_mall,minor,563,LH-LOC-0024,0.11,0.068,True,near_side,evening
LH-POI-0119,LH,Uptown Crescent,Union Uptown College,university,neighborhood,4679,LH-LOC-0024,0.249,0.155,True,near_side,afternoon
LH-POI-0120,LH,Uptown Crescent,Uptown Crescent Market,grocery_anchor,major,8823,LH-LOC-0024,0.264,0.164,True,far_side,morning
LH-POI-0121,LH,Uptown Crescent,Uptown Crescent Entertainment District,entertainment_district,neighborhood,2137,LH-LOC-0024,0.138,0.086,True,far_side,evening
LH-POI-0122,LH,Market Quarter,Market Quarter Mall,shopping_mall,minor,1234,LH-LOC-0154,0.251,0.156,False,near_side,midday
LH-POI-0123,LH,Riverside Junction,Riverside Junction Entertainment District,entertainment_district,flagship,17582,LH-LOC-0152,0.222,0.138,False,far_side,afternoon
LH-POI-0124,LH,Harborfront,Crescent Business Park,office_park,neighborhood,3208,LH-LOC-0137,0.16,0.099,False,far_side,night
LH-POI-0125,LH,Cathedral Heights,Heritage Gallery,museum,flagship,5234,LH-LOC-0141,0.979,0.608,False,near_side,midday
LH-POI-0126,LH,Cathedral Heights,Metro Cathedral Office Commons,office_park,major,2283,LH-LOC-0161,0.144,0.089,False,near_side,morning
LH-POI-0127,LH,North Terminus,North Terminus Nightlife Quarter,entertainment_district,minor,456,LH-LOC-0058,0.072,0.045,True,far_side,midday
LH-POI-0128,LH,North Terminus,Union General Hospital,hospital,minor,370,LH-LOC-0058,0.192,0.119,True,near_side,morning
LH-POI-0129,LH,North Terminus,North Terminus Office Commons,office_park,neighborhood,1732,LH-LOC-0058,0.2,0.124,True,near_side,night
LH-POI-0130,LH,East Commons,East Commons Towers,residential_tower,major,5502,LH-LOC-0175,0.18,0.112,False,far_side,evening
LH-POI-0131,LH,Financial Row,Financial Row Galleria,shopping_mall,major,18556,LH-LOC-0180,0.379,0.235,False,far_side,afternoon
LH-POI-0132,LH,Market Quarter,Metro Market Fresh Market,grocery_anchor,major,12260,LH-LOC-0244,0.147,0.091,False,far_side,morning
LH-POI-0133,LH,Market Quarter,North Market Grocery & Provisions,grocery_anchor,flagship,14038,LH-LOC-0254,1.154,0.717,False,far_side,evening
LH-POI-0134,LH,Riverside Junction,Riverside Junction Civic Center,government_building,flagship,13627,LH-LOC-0097,0.324,0.201,True,near_side,midday
LH-POI-0135,LH,Riverside Junction,Parkview Riverside Grocery & Provisions,grocery_anchor,neighborhood,1235,LH-LOC-0097,0.299,0.186,True,near_side,evening
LH-POI-0136,LH,Riverside Junction,Crescent Landmark Tower,tourist_landmark,minor,811,LH-LOC-0097,0.133,0.083,True,far_side,morning
LH-POI-0137,LH,East Commons,Ivy Entertainment District,entertainment_district,neighborhood,2233,LH-LOC-0315,0.195,0.121,False,near_side,afternoon
LH-POI-0138,LH,Old Mill District,Cedar Old Civic Center,government_building,neighborhood,2278,LH-LOC-0053,0.169,0.105,True,near_side,morning
LH-POI-0139,LH,Old Mill District,Crescent Old Shopping Center,shopping_mall,major,4568,LH-LOC-0053,0.139,0.086,True,far_side,evening
LH-POI-0140,LH,Old Mill District,Stone Grocery & Provisions,grocery_anchor,neighborhood,2989,LH-LOC-0053,0.156,0.097,True,near_side,afternoon
LH-POI-0141,LH,Riverside Junction,Central Entertainment District,entertainment_district,neighborhood,2226,LH-LOC-0142,0.344,0.214,False,near_side,evening
LH-POI-0142,LH,Harborfront,Parkview Harborfront Theater Row,entertainment_district,major,4618,LH-LOC-0062,0.434,0.27,True,near_side,evening
LH-POI-0143,LH,Harborfront,Grand Shopping Center,shopping_mall,minor,1024,LH-LOC-0062,0.026,0.016,True,far_side,morning
LH-POI-0144,LH,Harborfront,Metro Grocery & Provisions,grocery_anchor,minor,796,LH-LOC-0062,0.126,0.078,True,far_side,afternoon
LH-POI-0145,LH,Harborfront,Harborfront Residences,residential_tower,minor,397,LH-LOC-0062,0.2,0.124,True,near_side,evening
LH-POI-0146,LH,Uptown Crescent,Uptown Crescent Residences,residential_tower,major,9629,LH-LOC-0349,0.467,0.29,False,near_side,morning
LH-POI-0147,LH,North Terminus,Stone North Corporate Center,office_park,flagship,12322,LH-LOC-0163,0.707,0.439,False,near_side,evening
LH-POI-0148,LH,Market Quarter,Riverside Market Residences,residential_tower,major,6008,LH-LOC-0294,0.238,0.148,False,far_side,evening
LH-POI-0149,LH,Harborfront,Harborfront Apartments,residential_tower,neighborhood,2717,LH-LOC-0012,0.464,0.288,False,far_side,evening
LH-POI-0150,LH,Harborfront,Central Harborfront Office Commons,office_park,major,5078,LH-LOC-0012,0.41,0.255,False,near_side,morning
LH-POI-0151,LH,East Commons,Riverside East Galleria,shopping_mall,major,2518,LH-LOC-0225,0.358,0.222,False,near_side,evening
LH-POI-0152,LH,Riverside Junction,Landmark Apartments,residential_tower,minor,526,LH-LOC-0017,0.172,0.107,True,far_side,morning
LH-POI-0153,LH,Riverside Junction,Riverside Riverside Fresh Market,grocery_anchor,minor,526,LH-LOC-0017,0.173,0.107,True,far_side,night
LH-POI-0154,LH,Riverside Junction,Riverside Junction Medical Center,hospital,major,5044,LH-LOC-0017,0.279,0.173,True,near_side,afternoon
LH-POI-0155,LH,Riverside Junction,Riverside Junction Landmark Tower,tourist_landmark,minor,478,LH-LOC-0017,0.165,0.103,True,far_side,morning
LH-POI-0156,LH,North Terminus,North Terminus Shopping Center,shopping_mall,neighborhood,1773,LH-LOC-0098,0.319,0.198,True,far_side,afternoon
LH-POI-0157,LH,North Terminus,North Terminus Corporate Center,office_park,minor,477,LH-LOC-0098,0.09,0.056,True,far_side,evening
LH-POI-0158,LH,North Terminus,Founders North Market,grocery_anchor,minor,287,LH-LOC-0098,0.037,0.023,True,far_side,evening
LH-POI-0159,LH,East Commons,Summit General Hospital,hospital,flagship,9248,LH-LOC-0060,1.149,0.714,False,near_side,evening
LH-POI-0160,LH,East Commons,Founders East Market,grocery_anchor,major,3538,LH-LOC-0060,0.652,0.405,False,near_side,afternoon
LH-POI-0161,LH,Harborfront,Harborfront Fresh Market,grocery_anchor,neighborhood,1654,LH-LOC-0157,0.207,0.129,False,near_side,evening
LH-POI-0162,LH,Old Mill District,South Old Market,grocery_anchor,major,9237,LH-LOC-0138,0.779,0.484,False,far_side,evening
LH-POI-0163,LH,Cathedral Heights,Cathedral Heights Office Commons,office_park,minor,422,LH-LOC-0321,0.273,0.17,False,near_side,evening
LH-POI-0164,LH,Cathedral Heights,Crescent Cathedral City Hall,government_building,neighborhood,1101,LH-LOC-0201,0.106,0.066,False,near_side,midday
LH-POI-0165,LH,Uptown Crescent,Uptown Crescent Entertainment District,entertainment_district,neighborhood,1740,LH-LOC-0004,0.046,0.029,True,near_side,evening
LH-POI-0166,LH,Uptown Crescent,Uptown Crescent University,university,major,12235,LH-LOC-0004,0.468,0.291,True,far_side,evening
LH-POI-0167,LH,Uptown Crescent,Metro Uptown Galleria,shopping_mall,neighborhood,2136,LH-LOC-0004,0.348,0.216,True,near_side,morning
LH-POI-0168,LH,Uptown Crescent,Uptown Crescent Apartments,residential_tower,neighborhood,1816,LH-LOC-0004,0.031,0.019,True,far_side,afternoon
LH-POI-0169,LH,Harborfront,Founders Grocery & Provisions,grocery_anchor,flagship,13605,LH-LOC-0307,0.419,0.26,False,far_side,afternoon
LH-POI-0170,LH,Financial Row,Landmark Financial Civic Center,government_building,flagship,28239,LH-LOC-0105,0.821,0.51,False,far_side,morning
LH-POI-0171,LH,Financial Row,Stone Financial Business Park,office_park,flagship,36879,LH-LOC-0105,0.404,0.251,False,near_side,midday
LH-POI-0172,LH,North Terminus,Founders North Fresh Market,grocery_anchor,neighborhood,780,LH-LOC-0143,0.488,0.303,False,near_side,afternoon
LH-POI-0173,LH,Downtown Core,Riverside Office Commons,office_park,flagship,32870,LH-LOC-0186,0.37,0.23,True,far_side,morning
LH-POI-0174,LH,Downtown Core,Central Downtown Shopping Center,shopping_mall,minor,1451,LH-LOC-0186,0.165,0.103,True,far_side,afternoon
LH-POI-0175,LH,Old Mill District,Heritage Residences,residential_tower,neighborhood,3677,LH-LOC-0328,0.352,0.219,False,far_side,afternoon
LH-POI-0176,LH,Cathedral Heights,Cathedral Heights Heritage Museum,museum,major,4451,LH-LOC-0026,0.503,0.313,True,near_side,midday
LH-POI-0177,LH,Cathedral Heights,Cedar Grocery & Provisions,grocery_anchor,neighborhood,1572,LH-LOC-0026,0.081,0.05,True,near_side,evening
LH-POI-0178,LH,Cathedral Heights,Cathedral Heights Business Park,office_park,minor,277,LH-LOC-0026,0.091,0.057,True,near_side,night
LH-POI-0179,LH,Cathedral Heights,Harbor Gallery,museum,flagship,8380,LH-LOC-0016,0.413,0.257,True,far_side,midday
LH-POI-0180,LH,Cathedral Heights,Cathedral Heights Tech Campus,corporate_campus,major,4034,LH-LOC-0016,0.213,0.132,True,far_side,midday
LH-POI-0181,LH,Cathedral Heights,Central Cathedral Mall,shopping_mall,major,4704,LH-LOC-0016,0.236,0.147,True,far_side,afternoon
LH-POI-0182,LH,Cathedral Heights,Union Cathedral Corporate Center,office_park,minor,247,LH-LOC-0016,0.171,0.106,True,far_side,night
LH-POI-0183,LH,Market Quarter,Market Quarter Apartments,residential_tower,flagship,27920,LH-LOC-0029,0.535,0.332,False,near_side,evening
LH-POI-0184,LH,Market Quarter,Ivy Market Shopping Center,shopping_mall,minor,630,LH-LOC-0029,0.234,0.145,False,far_side,afternoon
LH-POI-0185,LH,Cathedral Heights,Cathedral Heights Corporate Center,office_park,neighborhood,1798,LH-LOC-0066,0.057,0.035,True,far_side,evening
LH-POI-0186,LH,Cathedral Heights,Cathedral Heights Fresh Market,grocery_anchor,minor,511,LH-LOC-0066,0.052,0.032,True,near_side,morning
LH-POI-0187,LH,Cathedral Heights,Riverside Cathedral Headquarters Campus,corporate_campus,minor,433,LH-LOC-0066,0.204,0.127,True,far_side,evening
LH-POI-0188,LH,Cathedral Heights,Heritage Cathedral Convention Center,hotel_convention,neighborhood,934,LH-LOC-0066,0.07,0.043,True,far_side,evening
LH-POI-0189,LH,Cathedral Heights,Stone Cathedral Office Commons,office_park,minor,425,LH-LOC-0301,0.086,0.053,False,near_side,morning
LH-POI-0190,LH,North Terminus,North North Shopping Center,shopping_mall,minor,152,LH-LOC-0153,0.131,0.081,False,far_side,afternoon
LH-POI-0191,LH,Uptown Crescent,Uptown Crescent University,university,minor,919,LH-LOC-0129,0.146,0.091,False,far_side,midday
LH-POI-0192,LH,Harborfront,Parkview Harborfront Towers,residential_tower,minor,1049,LH-LOC-0207,0.165,0.103,False,near_side,morning
LH-POI-0193,LH,Harborfront,Harbor Harborfront Historic District,tourist_landmark,neighborhood,2054,LH-LOC-0197,0.328,0.204,False,far_side,morning
LH-POI-0194,LH,East Commons,Cedar Galleria,shopping_mall,neighborhood,1660,LH-LOC-0125,0.303,0.188,False,near_side,evening
LH-POI-0195,LH,Uptown Crescent,North Uptown Apartments,residential_tower,flagship,13843,LH-LOC-0249,0.824,0.512,False,far_side,evening
