event_id,city_id,city_zone,poi_id,anchor_location_id,event_name,event_type,recurrence,start_date,end_date,expected_attendance,attendance_tier,primary_impact_daypart,impact_radius_km
ACS-EVT-00014,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Coastal Bolts,sports_game,weekly_season,2025-12-19,2025-12-19,43334,large,evening,2.95
ACS-EVT-00057,ACS,Windmere Park,,ACS-LOC-0168,ACS Downtown Marathon,marathon_race,one_time,2025-12-20,2025-12-20,16906,large,morning,2.52
ACS-EVT-00042,ACS,Greenhollow,ACS-POI-0163,ACS-LOC-0102,ACS Summer Festival,festival,one_time,2026-01-24,2026-01-25,24416,large,evening,2.38
ACS-EVT-00038,ACS,Fallowfield,,ACS-LOC-0240,ACS Summer Festival,festival,one_time,2026-02-05,2026-02-06,30917,large,afternoon,1.98
ACS-EVT-00040,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Live Wire Concert Series,concert,one_time,2026-02-06,2026-02-06,7727,medium,evening,1.2
ACS-EVT-00082,ACS,Cobblestone Village,,ACS-LOC-0041,ACS Riverside Marathon,marathon_race,one_time,2026-02-13,2026-02-13,16989,large,morning,1.87
ACS-EVT-00048,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Summer Sound Concert Series,concert,one_time,2026-02-14,2026-02-14,4241,medium,evening,1.36
ACS-EVT-00039,ACS,Pine Hatch,ACS-POI-0185,ACS-LOC-0163,ACS Food & Music Festival,festival,one_time,2026-02-28,2026-02-28,35086,large,afternoon,2.1
ACS-EVT-00080,ACS,Maple Grove,ACS-POI-0264,ACS-LOC-0127,Metro Auto Convention,convention,one_time,2026-03-09,2026-03-12,4075,medium,midday,0.88
ACS-EVT-00073,ACS,Sunridge Acres,ACS-POI-0017,ACS-LOC-0229,Metro Business Summit,trade_show,one_time,2026-03-18,2026-03-20,3452,medium,morning,0.91
ACS-EVT-00078,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Summer Sound Concert Series,concert,one_time,2026-03-21,2026-03-21,21737,large,evening,2.03
ACS-EVT-00079,ACS,Maple Grove,ACS-POI-0009,ACS-LOC-0001,Encore Concert Series,concert,one_time,2026-03-26,2026-03-26,17225,large,evening,1.98
ACS-EVT-00033,ACS,Cobblestone Village,,ACS-LOC-0131,ACS Cultural Festival,festival,one_time,2026-03-31,2026-04-02,22743,large,afternoon,2.64
ACS-EVT-00049,ACS,Brookview,ACS-POI-0290,ACS-LOC-0196,Neon Nights Concert Series,concert,one_time,2026-04-28,2026-04-28,8800,medium,evening,1.08
ACS-EVT-00064,ACS,Greenhollow,ACS-POI-0107,ACS-LOC-0212,Encore Concert Series,concert,one_time,2026-05-03,2026-05-03,5181,medium,evening,1.07
ACS-EVT-00085,ACS,Southgate Commons,ACS-POI-0249,ACS-LOC-0035,Live Wire Concert Series,concert,one_time,2026-05-05,2026-05-05,22256,large,evening,2.84
ACS-EVT-00076,ACS,Cobblestone Village,ACS-POI-0208,ACS-LOC-0051,After Hours Concert Series,concert,one_time,2026-06-02,2026-06-02,10639,medium,evening,0.99
ACS-EVT-00066,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,Summer Sound Concert Series,concert,one_time,2026-06-25,2026-06-25,19680,large,night,2.04
ACS-EVT-00044,ACS,Brookview,,ACS-LOC-0106,ACS Winter Holiday Celebration,holiday_event,annual,2026-07-17,2026-07-17,11744,medium,afternoon,1.51
ACS-EVT-00087,ACS,Southgate Commons,ACS-POI-0230,ACS-LOC-0019,Encore Concert Series,concert,one_time,2026-08-01,2026-08-01,15303,large,evening,2.47
ACS-EVT-00068,ACS,Maple Grove,ACS-POI-0224,ACS-LOC-0237,Regional Finance Convention,convention,one_time,2026-08-12,2026-08-14,5322,medium,morning,1.05
ACS-EVT-00015,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad Rangers,sports_game,weekly_season,2026-08-15,2026-08-15,31744,large,evening,2.76
ACS-EVT-00084,ACS,Pine Hatch,,ACS-LOC-0253,ACS Lantern Celebration,holiday_event,annual,2026-08-16,2026-08-16,22283,large,evening,2.68
ACS-EVT-00041,ACS,Sunridge Acres,ACS-POI-0088,ACS-LOC-0023,Industry Vendor Showcase,trade_show,one_time,2026-08-17,2026-08-19,3757,medium,morning,1.27
ACS-EVT-00034,ACS,Maple Grove,ACS-POI-0160,ACS-LOC-0177,Annual Healthcare Convention,convention,one_time,2026-08-21,2026-08-23,4038,medium,midday,1.69
ACS-EVT-00016,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside FC,sports_game,weekly_season,2026-08-22,2026-08-22,39109,large,evening,1.9
ACS-EVT-00017,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Northgate FC,sports_game,weekly_season,2026-08-29,2026-08-29,23805,large,afternoon,1.98
ACS-EVT-00018,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Summit United,sports_game,weekly_season,2026-09-05,2026-09-05,15240,large,evening,2.74
ACS-EVT-00019,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad Rangers,sports_game,weekly_season,2026-09-12,2026-09-12,17972,large,evening,2.16
ACS-EVT-00077,ACS,Old Orchard,ACS-POI-0128,ACS-LOC-0174,ACS New Year Celebration,holiday_event,annual,2026-09-13,2026-09-13,21376,large,evening,2.47
ACS-EVT-00071,ACS,Maple Grove,ACS-POI-0019,ACS-LOC-0227,Metro Retail Convention,convention,one_time,2026-09-15,2026-09-18,5409,medium,morning,1.08
ACS-EVT-00059,ACS,Fallowfield,ACS-POI-0276,ACS-LOC-0024,ACS Arts Festival,festival,one_time,2026-09-18,2026-09-20,21061,large,evening,2.67
ACS-EVT-00020,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Riverside FC,sports_game,weekly_season,2026-09-19,2026-09-19,39477,large,afternoon,2.37
ACS-EVT-00061,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,After Hours Concert Series,concert,one_time,2026-09-22,2026-09-22,10426,medium,night,1.0
ACS-EVT-00021,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Coastal Bolts,sports_game,weekly_season,2026-09-26,2026-09-26,26399,large,evening,2.74
ACS-EVT-00022,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad United,sports_game,weekly_season,2026-10-03,2026-10-03,24960,large,evening,2.35
ACS-EVT-00023,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Northgate FC,sports_game,weekly_season,2026-10-10,2026-10-10,30822,large,evening,2.15
ACS-EVT-00024,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad United,sports_game,weekly_season,2026-10-17,2026-10-17,25926,large,evening,2.7
ACS-EVT-00083,ACS,Maple Grove,ACS-POI-0134,ACS-LOC-0187,B2B Trade Expo,trade_show,one_time,2026-10-19,2026-10-22,2408,medium,morning,1.4
ACS-EVT-00025,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Summit United,sports_game,weekly_season,2026-10-24,2026-10-24,34417,large,evening,1.92
ACS-EVT-00054,ACS,Maple Grove,ACS-POI-0134,ACS-LOC-0187,Regional Finance Convention,convention,one_time,2026-10-26,2026-10-29,11967,medium,morning,1.22
ACS-EVT-00026,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad United,sports_game,weekly_season,2026-10-31,2026-10-31,28310,large,evening,2.29
ACS-EVT-00027,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Summit FC,sports_game,weekly_season,2026-11-07,2026-11-07,42125,large,afternoon,2.28
ACS-EVT-00089,ACS,Greenhollow,ACS-POI-0282,ACS-LOC-0006,ACS Food & Music Festival,festival,one_time,2026-11-09,2026-11-09,12090,medium,evening,1.46
ACS-EVT-00028,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Northgate FC,sports_game,weekly_season,2026-11-14,2026-11-14,42422,large,afternoon,2.56
ACS-EVT-00029,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Coastal Bolts,sports_game,weekly_season,2026-11-21,2026-11-21,25723,large,afternoon,2.52
ACS-EVT-00070,ACS,Fallowfield,,ACS-LOC-0250,ACS Independence Day Celebration,holiday_event,annual,2026-11-26,2026-11-26,20365,large,evening,2.14
ACS-EVT-00030,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,ACS Home Game vs. Ironclad Bolts,sports_game,weekly_season,2026-11-28,2026-11-28,24143,large,evening,2.77
ACS-EVT-00056,ACS,Sunridge Acres,ACS-POI-0326,ACS-LOC-0089,National Finance Convention,convention,one_time,2026-12-03,2026-12-03,7330,medium,midday,1.31
ACS-EVT-00072,ACS,Sunridge Acres,,ACS-LOC-0239,Farmers Fair,community_fair,one_time,2026-12-10,2026-12-10,4101,medium,midday,0.87
ACS-EVT-00065,ACS,Maple Grove,,ACS-LOC-0127,ACS Pride Parade,parade,one_time,2026-12-11,2026-12-11,12904,medium,morning,1.17
ACS-EVT-00052,ACS,Brookview,ACS-POI-0171,ACS-LOC-0246,Civic Rally,political_rally,one_time,2026-12-12,2026-12-12,7590,medium,afternoon,0.82
ACS-EVT-00075,ACS,Southgate Commons,ACS-POI-0230,ACS-LOC-0019,ACS Harvest Festival,festival,one_time,2026-12-16,2026-12-19,26515,large,evening,1.83
ACS-EVT-00091,ACS,Fallowfield,ACS-POI-0337,ACS-LOC-0004,After Hours Concert Series,concert,one_time,2026-12-17,2026-12-17,12026,medium,night,1.66
ACS-EVT-00046,ACS,Pine Hatch,,ACS-LOC-0173,ACS Pride Parade,parade,one_time,2026-12-21,2026-12-21,11028,medium,morning,1.58
ACS-EVT-00067,ACS,Maple Grove,ACS-POI-0264,ACS-LOC-0127,Neon Nights Concert Series,concert,one_time,2027-01-03,2027-01-03,24512,large,evening,2.31
ACS-EVT-00081,ACS,Maple Grove,,ACS-LOC-0037,ACS Heritage Parade,parade,one_time,2027-01-20,2027-01-20,11331,medium,midday,1.71
ACS-EVT-00035,ACS,Brookview,,ACS-LOC-0156,ACS Winter Lights Parade,parade,one_time,2027-01-21,2027-01-21,12220,medium,midday,1.48
ACS-EVT-00086,ACS,Brookview,,ACS-LOC-0156,ACS Arts Festival,festival,one_time,2027-01-23,2027-01-24,32294,large,afternoon,2.03
ACS-EVT-00045,ACS,Maple Grove,ACS-POI-0009,ACS-LOC-0001,Encore Concert Series,concert,one_time,2027-01-29,2027-01-29,12150,medium,night,1.24
ACS-EVT-00031,ACS,Old Orchard,,ACS-LOC-0224,ACS Heritage Parade,parade,one_time,2027-02-08,2027-02-08,11397,medium,morning,1.1
ACS-EVT-00050,ACS,Cobblestone Village,,ACS-LOC-0241,Community Rally,political_rally,one_time,2027-02-12,2027-02-12,7601,medium,evening,0.98
ACS-EVT-00047,ACS,Sunridge Acres,ACS-POI-0022,ACS-LOC-0259,Metro Trade Expo,trade_show,one_time,2027-02-18,2027-02-18,6837,medium,morning,0.83
DAT-EVT-00104,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,Summer Sound Concert Series,concert,one_time,2025-09-01,2025-09-01,6944,medium,night,1.05
DAT-EVT-00001,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Riverside United,sports_game,weekly_season,2025-09-02,2025-09-02,25087,large,evening,2.54
DAT-EVT-00053,DAT,Harrow Point,,DAT-LOC-0055,DAT Pride Parade,parade,one_time,2025-09-06,2025-09-06,12036,medium,midday,0.83
DAT-EVT-00095,DAT,Milltown,DAT-POI-0416,DAT-LOC-0046,Neon Nights Concert Series,concert,one_time,2025-09-06,2025-09-06,4244,medium,evening,1.06
DAT-EVT-00002,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Summit Rangers,sports_game,weekly_season,2025-09-09,2025-09-09,26923,large,afternoon,2.94
DAT-EVT-00088,DAT,Central Yard,,DAT-LOC-0041,DAT Founders Day Parade,parade,one_time,2025-09-09,2025-09-09,20171,large,midday,2.57
DAT-EVT-00074,DAT,Harrow Point,DAT-POI-0362,DAT-LOC-0265,National Auto Convention,convention,one_time,2025-09-10,2025-09-12,2212,medium,midday,1.78
DAT-EVT-00003,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Riverside United,sports_game,weekly_season,2025-09-16,2025-09-16,21717,large,evening,2.65
DAT-EVT-00107,DAT,Harrow Point,DAT-POI-0397,DAT-LOC-0005,Live Wire Concert Series,concert,one_time,2025-09-17,2025-09-17,5999,medium,night,1.29
DAT-EVT-00097,DAT,Milltown,DAT-POI-0146,DAT-LOC-0196,Farmers Fair,community_fair,one_time,2025-09-19,2025-09-19,3205,medium,afternoon,1.24
DAT-EVT-00004,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Coastal FC,sports_game,weekly_season,2025-09-23,2025-09-23,15199,large,evening,1.93
DAT-EVT-00005,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Summit FC,sports_game,weekly_season,2025-09-30,2025-09-30,19325,large,evening,2.65
DAT-EVT-00006,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Ironclad FC,sports_game,weekly_season,2025-10-07,2025-10-07,27715,large,evening,2.8
DAT-EVT-00096,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,Neon Nights Concert Series,concert,one_time,2025-10-12,2025-10-12,16285,large,night,2.85
DAT-EVT-00108,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,Live Wire Concert Series,concert,one_time,2025-10-13,2025-10-13,6110,medium,evening,1.26
DAT-EVT-00007,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Summit Rangers,sports_game,weekly_season,2025-10-14,2025-10-14,18947,large,evening,2.11
DAT-EVT-00038,DAT,Kestrel Heights,DAT-POI-0117,DAT-LOC-0267,DAT Cultural Festival,festival,one_time,2025-10-18,2025-10-21,27510,large,afternoon,2.7
DAT-EVT-00008,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Northgate Bolts,sports_game,weekly_season,2025-10-21,2025-10-21,26466,large,evening,2.08
DAT-EVT-00009,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Riverside United,sports_game,weekly_season,2025-10-28,2025-10-28,15041,large,evening,2.41
DAT-EVT-00049,DAT,Central Yard,DAT-POI-0294,DAT-LOC-0181,After Hours Concert Series,concert,one_time,2025-10-29,2025-10-29,11810,medium,night,1.22
DAT-EVT-00089,DAT,Central Yard,DAT-POI-0160,DAT-LOC-0151,Industry Trade Expo,trade_show,one_time,2025-10-29,2025-11-01,1835,small,midday,0.55
DAT-EVT-00050,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,After Hours Concert Series,concert,one_time,2025-10-31,2025-10-31,18460,large,evening,1.8
DAT-EVT-00010,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Northgate United,sports_game,weekly_season,2025-11-04,2025-11-04,21409,large,evening,1.81
DAT-EVT-00111,DAT,Kestrel Heights,DAT-POI-0341,DAT-LOC-0287,DAT Summer Festival,festival,one_time,2025-11-05,2025-11-05,10316,medium,evening,1.73
DAT-EVT-00011,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Summit FC,sports_game,weekly_season,2025-11-11,2025-11-11,34423,large,afternoon,2.34
DAT-EVT-00082,DAT,Kestrel Heights,DAT-POI-0048,DAT-LOC-0077,DAT Independence Day Celebration,holiday_event,annual,2025-11-13,2025-11-13,14645,medium,afternoon,1.5
DAT-EVT-00036,DAT,Bellwood,DAT-POI-0223,DAT-LOC-0024,Farmers Fair,community_fair,one_time,2025-11-14,2025-11-14,4701,medium,afternoon,1.15
DAT-EVT-00012,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Coastal FC,sports_game,weekly_season,2025-11-18,2025-11-18,20438,large,evening,2.12
DAT-EVT-00013,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,DAT Home Game vs. Summit United,sports_game,weekly_season,2025-11-25,2025-11-25,22031,large,evening,2.8
DAT-EVT-00092,DAT,Founders Square,DAT-POI-0106,DAT-LOC-0059,Neighborhood Fair,community_fair,one_time,2025-12-14,2025-12-14,1791,small,midday,0.46
DAT-EVT-00090,DAT,Central Yard,DAT-POI-0028,DAT-LOC-0241,Local Fair,community_fair,one_time,2025-12-21,2025-12-21,4172,medium,midday,1.41
DAT-EVT-00046,DAT,Harrow Point,DAT-POI-0338,DAT-LOC-0025,Summer Sound Concert Series,concert,one_time,2026-01-02,2026-01-02,6338,medium,evening,1.47
DAT-EVT-00073,DAT,Founders Square,,DAT-LOC-0169,DAT Winter Lights Parade,parade,one_time,2026-01-04,2026-01-04,24679,large,morning,2.95
DAT-EVT-00028,DAT,Ashford Row,DAT-POI-0430,DAT-LOC-0282,School District Fair,community_fair,one_time,2026-01-05,2026-01-05,1574,small,midday,0.51
DAT-EVT-00034,DAT,Lakeside Loop,,DAT-LOC-0088,Local Fair,community_fair,one_time,2026-01-12,2026-01-12,2167,medium,midday,1.31
DAT-EVT-00052,DAT,Central Yard,DAT-POI-0131,DAT-LOC-0051,Summer Sound Concert Series,concert,one_time,2026-01-21,2026-01-21,3539,medium,evening,1.48
DAT-EVT-00100,DAT,Harrow Point,,DAT-LOC-0255,DAT Heritage Parade,parade,one_time,2026-02-03,2026-02-03,24103,large,morning,2.48
DAT-EVT-00061,DAT,Lakeside Loop,DAT-POI-0423,DAT-LOC-0148,DAT Independence Day Celebration,holiday_event,annual,2026-02-04,2026-02-04,10374,medium,afternoon,0.85
DAT-EVT-00045,DAT,Union Flats,DAT-POI-0424,DAT-LOC-0103,DAT Cultural Festival,festival,one_time,2026-02-05,2026-02-08,38143,large,evening,2.21
DAT-EVT-00068,DAT,Founders Square,,DAT-LOC-0029,DAT Pride Parade,parade,one_time,2026-02-09,2026-02-09,25313,large,morning,2.62
DAT-EVT-00058,DAT,Founders Square,,DAT-LOC-0239,DAT New Year Celebration,holiday_event,annual,2026-02-19,2026-02-19,22839,large,evening,2.16
DAT-EVT-00063,DAT,Harrow Point,DAT-POI-0425,DAT-LOC-0245,Industry Trade Expo,trade_show,one_time,2026-02-25,2026-02-25,3662,medium,morning,1.33
DAT-EVT-00077,DAT,Harrow Point,DAT-POI-0338,DAT-LOC-0025,Live Wire Concert Series,concert,one_time,2026-02-27,2026-02-27,9524,medium,night,1.26
DAT-EVT-00042,DAT,Harrow Point,,DAT-LOC-0115,Civic Rally,political_rally,one_time,2026-02-28,2026-02-28,2024,medium,evening,1.52
DAT-EVT-00032,DAT,Bellwood,DAT-POI-0298,DAT-LOC-0234,Live Wire Concert Series,concert,one_time,2026-03-14,2026-03-14,13770,medium,evening,1.15
DAT-EVT-00029,DAT,Union Flats,,DAT-LOC-0093,School District Fair,community_fair,one_time,2026-04-02,2026-04-02,776,small,afternoon,0.78
DAT-EVT-00115,DAT,Union Flats,DAT-POI-0396,DAT-LOC-0153,Local Fair,community_fair,one_time,2026-04-06,2026-04-06,2359,medium,afternoon,0.94
DAT-EVT-00051,DAT,Kestrel Heights,,DAT-LOC-0217,DAT Founders Day Parade,parade,one_time,2026-04-09,2026-04-09,8288,medium,midday,1.12
DAT-EVT-00117,DAT,Union Flats,DAT-POI-0305,DAT-LOC-0283,Live Wire Concert Series,concert,one_time,2026-04-10,2026-04-10,4353,medium,evening,1.33
DAT-EVT-00091,DAT,Ashford Row,DAT-POI-0041,DAT-LOC-0252,Neighborhood Fair,community_fair,one_time,2026-04-17,2026-04-17,2753,medium,midday,0.97
DAT-EVT-00047,DAT,Founders Square,DAT-POI-0400,DAT-LOC-0149,Local Fair,community_fair,one_time,2026-04-27,2026-04-27,731,small,afternoon,0.55
DAT-EVT-00060,DAT,Central Yard,DAT-POI-0130,DAT-LOC-0051,B2B Business Summit,trade_show,one_time,2026-05-03,2026-05-03,3327,medium,midday,1.64
DAT-EVT-00079,DAT,Ashford Row,,DAT-LOC-0212,DAT Winter Lights Parade,parade,one_time,2026-05-03,2026-05-03,27531,large,midday,2.42
DAT-EVT-00116,DAT,Union Flats,,DAT-LOC-0063,DAT Harvest Festival,festival,one_time,2026-05-06,2026-05-06,27830,large,afternoon,1.98
DAT-EVT-00113,DAT,Harrow Point,DAT-POI-0281,DAT-LOC-0035,Annual Auto Convention,convention,one_time,2026-05-09,2026-05-11,12804,medium,morning,1.27
DAT-EVT-00086,DAT,Central Yard,DAT-POI-0130,DAT-LOC-0051,Industry Business Summit,trade_show,one_time,2026-05-15,2026-05-17,1961,small,morning,0.76
DAT-EVT-00087,DAT,Central Yard,DAT-POI-0130,DAT-LOC-0051,Industry Business Summit,trade_show,one_time,2026-05-15,2026-05-15,7577,medium,midday,1.74
DAT-EVT-00065,DAT,Northbank,DAT-POI-0409,DAT-LOC-0090,DAT Harvest Festival,festival,one_time,2026-05-19,2026-05-19,32206,large,afternoon,2.9
DAT-EVT-00054,DAT,Union Flats,DAT-POI-0226,DAT-LOC-0053,DAT Arts Festival,festival,one_time,2026-05-26,2026-05-26,36747,large,afternoon,2.76
DAT-EVT-00101,DAT,Kestrel Heights,DAT-POI-0020,DAT-LOC-0007,Annual Auto Convention,convention,one_time,2026-06-11,2026-06-14,13772,medium,midday,1.38
DAT-EVT-00067,DAT,Bellwood,DAT-POI-0368,DAT-LOC-0004,Neon Nights Concert Series,concert,one_time,2026-06-12,2026-06-12,4648,medium,night,0.89
DAT-EVT-00033,DAT,Lakeside Loop,,DAT-LOC-0188,DAT Summer Festival,festival,one_time,2026-06-13,2026-06-16,6707,medium,afternoon,1.59
DAT-EVT-00109,DAT,Central Yard,DAT-POI-0407,DAT-LOC-0091,Annual Finance Convention,convention,one_time,2026-06-14,2026-06-17,2616,medium,midday,1.59
DAT-EVT-00041,DAT,Central Yard,DAT-POI-0447,DAT-LOC-0241,Encore Concert Series,concert,one_time,2026-06-20,2026-06-20,17608,large,night,2.09
DAT-EVT-00055,DAT,Founders Square,DAT-POI-0175,DAT-LOC-0199,Community Rally,political_rally,one_time,2026-06-24,2026-06-24,19881,large,afternoon,2.36
